subject_ID,subject_index,condition,opt_betastar,opt_loss,opt_BIC,opt_rel_entropy,equalweights_betastar,equalweights_loss,equalweights_BIC,equalweights_rel_entropy,ignoreweak_betastar,ignoreweak_loss,ignoreweak_BIC,ignoreweak_rel_entropy,fullparam_betastar,fullparam_WSratio,fullparam_loss,fullparam_BIC,fullparam_rel_entropy,best_model,best_model_betastar,best_model_loss,best_model_BIC,best_model_rel_entropy
5e1b5ab486a44538d261922c,0.0,fast,2.8681855065466024,128.2109335260222,262.12564952670056,0.09807020695948682,3.1305000687690105,127.36443136170622,260.43264519806866,0.09524853307843355,2.437733309781883,149.05348199810732,303.8107464708708,0.16754536853310387,3.6891237683431077,1.5155045166897725,123.131082679509,257.66973030833043,0.08113737080444279,fullparam,3.6891237683431077,123.131082679509,257.66973030833043,0.08113737080444279
66043afac98a1b4b85c39e64,1.0,fast,1.6783814721712778,170.74687681271615,347.1975361000885,0.18231469301926703,2.35204930494716,152.39167364131546,310.4871297572871,0.1211306824479315,1.1860170220817476,189.9363023464349,385.576387167526,0.24627944479832953,3.614349462148916,0.4979511054641596,149.9685403569869,311.3446456632862,0.11305357150016952,equalweights,2.35204930494716,152.39167364131546,310.4871297572871,0.1211306824479315
657531c0c11e076e274f00a9,2.0,fast,2.733655450515068,132.72146120850198,271.14670489166014,0.12766643924111992,3.2665597571379155,123.3091244312103,252.3220313370768,0.0962919833168143,2.1200342215996475,159.95599725014898,325.61577697495414,0.21844822604660985,4.005521521374974,1.2099610686339992,123.11526906340241,257.6381030761172,0.09564579875745466,equalweights,3.2665597571379155,123.3091244312103,252.3220313370768,0.0962919833168143
673bf98fb59b6d9e50a9080c,3.0,fast,1.6307321255506,171.92814262704138,349.5567288274734,0.09952970690977421,1.550810142016863,178.50891580332663,362.718275180044,0.12153898174684866,1.6994152883840175,173.59743660799649,352.8953167893836,0.10511262992300195,1.6301905022928422,2.502386305668331,171.92813655425692,355.2571602552952,0.09952968659945835,fully_optimal,1.6307321255506,171.92814262704138,349.5567288274734,0.09952970690977421
56ec2213388e1d000a5960c2,4.0,fast,2.554753268867695,138.90467440975658,283.51313129416934,0.13590826134505293,3.1713083553486703,126.1365333053293,257.97684908531477,0.0933477909969619,1.9642359736868527,165.29653329631026,336.2968490672767,0.22388112430023172,3.8923766859129048,1.1436448634062353,127.42974889153015,266.2670627323727,0.09765850961763149,equalweights,3.1713083553486703,126.1365333053293,257.97684908531477,0.0933477909969619
63026053812fe400f2929701,5.0,fast,2.1757658944128386,152.53772530537617,310.7792330854085,0.09605624899907195,2.067142855728949,162.00941140239803,329.72260527945224,0.1276285359891447,2.1893059353632687,157.57327468616734,320.85033184699085,0.11284141360170916,2.160961768690353,2.5478352171302276,152.5333503319548,316.47426561322203,0.09604166575433407,fully_optimal,2.1757658944128386,152.53772530537617,310.7792330854085,0.09605624899907195
5b7aa12ea545240001d93c98,6.0,fast,3.291136489865204,114.923124004807,235.5500304842702,0.10902005605103511,2.4428918680013774,149.3491239052977,304.40203028525156,0.22377338905267077,3.8359432766469332,106.24775592246576,218.19929431958772,0.08010216244323107,2.7171329047893265,6.0718568868808385,104.35848616662912,220.12453728257066,0.07380459659044226,ignoreweak,3.8359432766469332,106.24775592246576,218.19929431958772,0.08010216244323107
5f5452df72345118f58d187b,7.0,fast,2.903273103729274,127.05581523233128,259.8154129393188,0.09066546823770823,2.9097180434661416,134.17302500695044,274.04983248855706,0.11438950081977213,2.5928357568818576,143.7999507083847,293.3036838914256,0.14647925315788632,3.1974962447125437,2.000111594747842,126.29146285048922,263.99049065029084,0.0881176269649014,fully_optimal,2.903273103729274,127.05581523233128,259.8154129393188,0.09066546823770823
6463be9f43494df68cb9139b,8.0,fast,2.1952673438153183,151.13859601298847,307.97763559936766,0.14641935469185666,2.8681063146501216,134.89006997304642,275.4805835194835,0.09207645823720102,1.6780326866436825,174.29881974713368,354.298083067658,0.22387829694652292,3.9832333933743302,0.8161732039704593,133.63381484065573,278.66851682809283,0.08787493605529231,equalweights,2.8681063146501216,134.89006997304642,275.4805835194835,0.09207645823720102
672257189f5d5ac3fca9ed06,9.0,fast,1.1271985519209573,189.23346074447608,384.17070396360833,0.17577971592321992,1.6360761555729972,176.3303750691067,358.3645326128696,0.1327694303386554,0.7634527622720017,200.06048251288732,405.8247475004308,0.21186978848459076,2.723258657005361,0.36038015949037694,171.24500578500312,353.89757651931865,0.11581819939164342,fullparam,2.723258657005361,171.24500578500312,353.89757651931865,0.11581819939164342
6735456e8034ea7e61eac785,10.0,fast,1.525461743628581,176.1761796661939,358.05614180704396,0.15883232555954543,1.7595681720435208,172.30342350514195,350.3106294849401,0.14592313835603898,1.3140566636328561,186.28731021786643,378.27840291038905,0.19253609406512057,2.070058494350038,1.2829471903023788,172.20296452898089,355.8134940072742,0.14558827510216873,equalweights,1.7595681720435208,172.30342350514195,350.3106294849401,0.14592313835603898
671928fb3948e296cf936c4a,11.0,fast,1.6750654327591654,170.866151543865,347.43608556238615,0.1622538101269956,1.9924883767635608,164.52865557560955,334.7610936258753,0.14112882356614415,1.3375559664302272,185.5938335573145,376.8914495892852,0.2113460835051607,2.418367985086111,1.1424164189333013,164.96954222274152,341.34664939479546,0.14259844572325073,equalweights,1.9924883767635608,164.52865557560955,334.7610936258753,0.14112882356614415
665e0d4039fbf0b54bab1900,12.0,fast,2.502915542923519,140.7315335877271,287.1668496501104,0.11966537135022363,2.0147590681550813,163.777888530979,333.2595595366142,0.19648655449439653,2.8405421518074245,135.59678304877252,276.8973485722012,0.10254953622037491,2.162816864222629,4.510016238388608,136.06166857550622,283.53090210032485,0.10409915464282064,ignoreweak,2.8405421518074245,135.59678304877252,276.8973485722012,0.10254953622037491
66b504cd131c63b36b682b8d,13.0,fast,3.780590114771573,101.37316450663727,208.45011148793074,0.10049444673314763,3.53842034728953,115.54695956982876,236.79770161431372,0.14774043027711936,3.3224682644779526,120.57206216437754,246.8479068034113,0.16449077225894862,4.085935272031724,2.12057368915885,100.69924554938444,212.8060560480813,0.09824805020897162,fully_optimal,3.780590114771573,101.37316450663727,208.45011148793074,0.10049444673314763
