subject_ID,subject_index,condition,X,Ntrials,posterior_prob,choice_prob
5e1b5ab486a44538d261922c,0.0,fast,14.0,1.0,0.006270012341433836,0.0
5e1b5ab486a44538d261922c,0.0,fast,23.0,4.0,0.012432735254442401,0.0
5e1b5ab486a44538d261922c,0.0,fast,32.0,7.0,0.024503367550335983,0.0
5e1b5ab486a44538d261922c,0.0,fast,41.0,5.0,0.047726721034203896,0.0
5e1b5ab486a44538d261922c,0.0,fast,50.0,2.0,0.0909090909090909,0.0
5e1b5ab486a44538d261922c,0.0,fast,104.0,1.0,0.015601662241829593,0.0
5e1b5ab486a44538d261922c,0.0,fast,113.0,5.0,0.0306534300317155,0.0
5e1b5ab486a44538d261922c,0.0,fast,122.0,13.0,0.05935094310276758,0.0
5e1b5ab486a44538d261922c,0.0,fast,131.0,15.0,0.11181576977811694,0.06666666666666667
5e1b5ab486a44538d261922c,0.0,fast,140.0,6.0,0.20076000891310178,0.0
5e1b5ab486a44538d261922c,0.0,fast,203.0,2.0,0.0735875561175735,0.0
5e1b5ab486a44538d261922c,0.0,fast,212.0,9.0,0.13680688860321,0.1111111111111111
5e1b5ab486a44538d261922c,0.0,fast,221.0,17.0,0.24025307335204216,0.35294117647058826
5e1b5ab486a44538d261922c,0.0,fast,230.0,11.0,0.38686317984685703,0.36363636363636365
5e1b5ab486a44538d261922c,0.0,fast,302.0,3.0,0.2847472489508014,1.0
5e1b5ab486a44538d261922c,0.0,fast,311.0,9.0,0.44268836623770724,0.5555555555555556
5e1b5ab486a44538d261922c,0.0,fast,320.0,11.0,0.6131368201531431,0.6363636363636364
5e1b5ab486a44538d261922c,0.0,fast,401.0,3.0,0.666139424583122,0.3333333333333333
5e1b5ab486a44538d261922c,0.0,fast,410.0,6.0,0.7992399910868982,1.0
5e1b5ab486a44538d261922c,0.0,fast,500.0,2.0,0.9090909090909091,1.0
5e1b5ab486a44538d261922c,0.0,fast,1013.0,2.0,0.059350943102767575,0.0
5e1b5ab486a44538d261922c,0.0,fast,1022.0,5.0,0.11181576977811694,0.0
5e1b5ab486a44538d261922c,0.0,fast,1031.0,5.0,0.20076000891310175,0.2
5e1b5ab486a44538d261922c,0.0,fast,1040.0,3.0,0.33386057541687797,0.0
5e1b5ab486a44538d261922c,0.0,fast,1103.0,1.0,0.13680688860321,0.0
5e1b5ab486a44538d261922c,0.0,fast,1112.0,7.0,0.24025307335204213,0.14285714285714285
5e1b5ab486a44538d261922c,0.0,fast,1121.0,13.0,0.386863179846857,0.23076923076923078
5e1b5ab486a44538d261922c,0.0,fast,1130.0,9.0,0.5573116337622928,0.1111111111111111
5e1b5ab486a44538d261922c,0.0,fast,1202.0,3.0,0.44268836623770724,0.3333333333333333
5e1b5ab486a44538d261922c,0.0,fast,1211.0,13.0,0.6131368201531431,0.46153846153846156
5e1b5ab486a44538d261922c,0.0,fast,1220.0,17.0,0.7597469266479578,0.5882352941176471
5e1b5ab486a44538d261922c,0.0,fast,1301.0,5.0,0.7992399910868981,1.0
5e1b5ab486a44538d261922c,0.0,fast,1310.0,15.0,0.8881842302218831,0.8
5e1b5ab486a44538d261922c,0.0,fast,1400.0,5.0,0.9522732789657962,0.8
5e1b5ab486a44538d261922c,0.0,fast,2012.0,1.0,0.386863179846857,0.0
5e1b5ab486a44538d261922c,0.0,fast,2021.0,3.0,0.5573116337622926,0.6666666666666666
5e1b5ab486a44538d261922c,0.0,fast,2030.0,3.0,0.7152527510491986,0.6666666666666666
5e1b5ab486a44538d261922c,0.0,fast,2102.0,1.0,0.6131368201531431,0.0
5e1b5ab486a44538d261922c,0.0,fast,2111.0,7.0,0.7597469266479578,1.0
5e1b5ab486a44538d261922c,0.0,fast,2120.0,9.0,0.86319311139679,0.8888888888888888
5e1b5ab486a44538d261922c,0.0,fast,2201.0,5.0,0.8881842302218831,1.0
5e1b5ab486a44538d261922c,0.0,fast,2210.0,13.0,0.9406490568972323,0.9230769230769231
5e1b5ab486a44538d261922c,0.0,fast,2300.0,7.0,0.975496632449664,1.0
