subject_ID,subject_index,exclude_Ixr,condition,Ixr,Iry,Iry_CI_lower,Iry_CI_upper,info_efficiency,info_efficiency_CI_lower,info_efficiency_CI_upper,bound_class
5e1b5ab486a44538d261922c,0.0,0.0,fast,0.3969319505072046,0.15272341416931356,0.08973767975865206,0.23306952489434982,0.9638415203250508,0.5663368787259642,1.4709079576139041,full
5e1b5ab486a44538d261922c,0.0,0.0,slow,0.5711577960174302,0.2159298140433537,0.14016455898647598,0.3052934524055499,1.013316129263681,0.6577646954468742,1.4326821002079202,full
66043afac98a1b4b85c39e64,1.0,0.0,fast,0.2956993078198423,0.06354594728435228,0.02478298970441257,0.12070446754880233,0.5202672759710187,0.20290481289445703,0.9882390177951018,equal-weights
66043afac98a1b4b85c39e64,1.0,0.0,slow,0.553462875949496,0.19180170241265365,0.12291304603506244,0.27923513254819254,0.9219598300755242,0.5908231762862349,1.3422382185188773,equal-weights
657531c0c11e076e274f00a9,2.0,0.0,fast,0.40263662045038895,0.21846001208645735,0.14320264879805375,0.3104550833075297,1.3619523854369706,0.8927729485532356,1.9354802613230058,full
657531c0c11e076e274f00a9,2.0,0.0,slow,0.6550884182137444,0.20986366034995035,0.13701565910736274,0.3009634185576399,0.891562172332273,0.5820825695768315,1.2785805736655733,equal-weights
673bf98fb59b6d9e50a9080c,3.0,0.0,fast,0.15874686356541645,0.041323561827225935,0.010842262092113473,0.09068765865960847,0.6046484895206019,0.15864453854177804,1.3269465022389437,equal-weights
673bf98fb59b6d9e50a9080c,3.0,0.0,slow,0.43513117445987454,0.22586615506339996,0.14912843041792687,0.3182574978510964,1.3183762401806935,0.8704596726466056,1.8576626644592587,full
56ec2213388e1d000a5960c2,4.0,0.0,fast,0.39439141524779703,0.13368537312314027,0.07539523659331442,0.20986366034995035,0.8483396078130239,0.47844250981464487,1.3317511942872788,equal-weights
56ec2213388e1d000a5960c2,4.0,0.0,slow,0.6138703555677818,0.22849445818577127,0.1519239911421549,0.32072961384510995,1.0164732455084324,0.6758442789947584,1.4267876521134226,full
63026053812fe400f2929701,5.0,0.0,fast,0.26224095136318715,0.16611925919753798,0.09985069031313783,0.25025852999497367,1.5175538052298336,0.9121687381192811,2.2861935835717078,full
63026053812fe400f2929701,5.0,0.0,slow,0.5336645851877807,0.16239664656181502,0.09802637515376197,0.2429112308748153,0.8029802113460662,0.4846974436045081,1.2010895276211688,equal-weights
5b7aa12ea545240001d93c98,6.0,0.0,fast,0.47757017729592155,0.1986471988819824,0.1273374623275903,0.28565215571512753,1.0734595050121656,0.6881124428081654,1.5436211706251812,full
5b7aa12ea545240001d93c98,6.0,0.0,slow,0.8713996370637832,0.23791504974724006,0.16055224263129148,0.3313468807995796,0.8541716093216773,0.5764207334267871,1.189614102668081,equal-weights
5f5452df72345118f58d187b,7.0,0.0,fast,0.38024008475936766,0.19814030145293512,0.12854881539874063,0.2853133638679833,1.297747615882411,0.8419484450408491,1.8686997800243899,full
5f5452df72345118f58d187b,7.0,0.0,slow,0.6958881615525973,0.20840864543804363,0.13599008282178632,0.29649920684578,0.850031688128955,0.5546597139808394,1.2093246937730324,equal-weights
6463be9f43494df68cb9139b,8.0,0.0,fast,0.34250616770579767,0.07817887837377999,0.033283999368565485,0.14116234983846063,0.5611771211112393,0.23891643540110288,1.0132798364399809,equal-weights
