subject_ID,subject_index,condition,block,X,Ntrials,posterior_prob,choice_prob
63474e67a5fd298c6103c409,0.0,high_reward,2.0,50.0,2.0,0.0909090909090909,0.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,104.0,1.0,0.015601662241829593,0.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,113.0,5.0,0.0306534300317155,0.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,122.0,13.0,0.05935094310276758,0.15384615384615385
63474e67a5fd298c6103c409,0.0,high_reward,2.0,131.0,15.0,0.11181576977811694,0.5333333333333333
63474e67a5fd298c6103c409,0.0,high_reward,2.0,140.0,6.0,0.20076000891310178,0.6666666666666666
63474e67a5fd298c6103c409,0.0,high_reward,2.0,203.0,2.0,0.0735875561175735,0.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,212.0,9.0,0.13680688860321,0.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,221.0,17.0,0.24025307335204216,0.29411764705882354
63474e67a5fd298c6103c409,0.0,high_reward,2.0,230.0,11.0,0.38686317984685703,1.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,302.0,3.0,0.2847472489508014,0.3333333333333333
63474e67a5fd298c6103c409,0.0,high_reward,2.0,311.0,9.0,0.44268836623770724,0.1111111111111111
63474e67a5fd298c6103c409,0.0,high_reward,2.0,320.0,11.0,0.6131368201531431,0.9090909090909091
63474e67a5fd298c6103c409,0.0,high_reward,2.0,401.0,3.0,0.666139424583122,0.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,410.0,6.0,0.7992399910868982,1.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,500.0,2.0,0.9090909090909091,1.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,1013.0,2.0,0.059350943102767575,0.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,1022.0,5.0,0.11181576977811694,0.2
63474e67a5fd298c6103c409,0.0,high_reward,2.0,1031.0,5.0,0.20076000891310175,0.6
63474e67a5fd298c6103c409,0.0,high_reward,2.0,1040.0,3.0,0.33386057541687797,0.6666666666666666
63474e67a5fd298c6103c409,0.0,high_reward,2.0,1103.0,1.0,0.13680688860321,0.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,1112.0,7.0,0.24025307335204213,0.2857142857142857
63474e67a5fd298c6103c409,0.0,high_reward,2.0,1121.0,13.0,0.386863179846857,0.46153846153846156
63474e67a5fd298c6103c409,0.0,high_reward,2.0,1130.0,9.0,0.5573116337622928,0.7777777777777778
63474e67a5fd298c6103c409,0.0,high_reward,2.0,1202.0,3.0,0.44268836623770724,0.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,1211.0,13.0,0.6131368201531431,0.38461538461538464
63474e67a5fd298c6103c409,0.0,high_reward,2.0,1220.0,17.0,0.7597469266479578,0.8823529411764706
63474e67a5fd298c6103c409,0.0,high_reward,2.0,1301.0,5.0,0.7992399910868981,0.4
63474e67a5fd298c6103c409,0.0,high_reward,2.0,1310.0,15.0,0.8881842302218831,0.9333333333333333
