subject_ID,subject_index,exclude_Ixr,condition,Ixr,Iry,Iry_CI_lower,Iry_CI_upper,block,info_efficiency,info_efficiency_CI_lower,info_efficiency_CI_upper,bound_class
63474e67a5fd298c6103c409,0.0,0.0,low_reward,0.36283754242450866,0.06674360148185746,0.026466157197788547,0.12589134575952665,1.0,0.4553744491883206,0.18057179247887153,0.8589243157398982,equal-weights
63474e67a5fd298c6103c409,0.0,0.0,high_reward,0.34648082963949417,0.11423150304165808,0.06020440756721461,0.1858821643244801,2.0,0.8116555691015448,0.4277737873112699,1.320759071300957,equal-weights
6724c80675133c29b7257f6a,1.0,0.0,low_reward,0.3513678434993355,0.1257470051782628,0.06855308698712619,0.1976546488638034,1.0,0.8824788844804385,0.4810981513740839,1.387118952013452,equal-weights
6724c80675133c29b7257f6a,1.0,0.0,high_reward,0.44894509659771215,0.23041780877060983,0.1526983906161617,0.3214394014924391,2.0,1.3102514578959563,0.8683065340768563,1.8278380767432785,full
636da58a0d76bbb9167dbf3e,2.0,0.0,low_reward,0.09371564072800233,0.015536418928010215,3.7296607565779774e-05,0.05086710469685383,1.0,0.3783383455164759,0.0009082361170356,1.2387009079373341,equal-weights
636da58a0d76bbb9167dbf3e,2.0,0.0,high_reward,0.28540666087495614,0.06365510071445689,0.024632805853758512,0.12056640391549109,2.0,0.538217605696833,0.20827568630637355,1.0194149489128892,equal-weights
611c1cf68a3a6fc487b01d82,3.0,0.0,low_reward,0.6525872015063401,0.22653546550890966,0.1509732602436057,0.31770455478011556,1.0,0.964937260909634,0.643076896956484,1.3532757980272287,full
611c1cf68a3a6fc487b01d82,3.0,0.0,high_reward,0.6415519319647889,0.23777153165859574,0.16085870964573412,0.33173514069183474,2.0,1.0249393142721352,0.6933984670449465,1.4299793808321026,full
63052f20afc39e87110eb83e,4.0,0.0,low_reward,0.5096109654413419,0.17781936675732476,0.11044538849212325,0.2624411153621029,1.0,0.9118401568061643,0.5663530480266261,1.345772129032211,equal-weights
63052f20afc39e87110eb83e,4.0,0.0,high_reward,0.5521390781868666,0.18778833734889747,0.11718999104704826,0.2738139560828123,2.0,0.9043253216139342,0.5643474873876569,1.318595698714336,equal-weights
6660f48a57b1214a16267dcd,5.0,0.0,low_reward,0.8071143378663743,0.22653546550890966,0.15035498274582965,0.31695789054502466,1.0,0.8450844172545817,0.560895190029681,1.18240282431604,equal-weights
6660f48a57b1214a16267dcd,5.0,0.0,high_reward,0.8504398309391009,0.214441789996923,0.14099415889324846,0.3048402847880072,2.0,0.7787671931080394,0.5120346429093859,1.1070585305878025,equal-weights
664757043cb597943f321d65,6.0,0.0,low_reward,0.6705725569314903,0.1996331294141572,0.12878256771895594,0.2850520249163648,1.0,0.8346263213070544,0.5384142454670471,1.19174569689534,equal-weights
664757043cb597943f321d65,6.0,0.0,high_reward,0.7307191240617584,0.19364381265694358,0.1248411929916169,0.2792739633070494,2.0,0.7655218181515643,0.4935280695410644,1.1040389528580155,equal-weights
6410e0ba81f88046afa861ca,7.0,0.0,low_reward,0.43264940700777454,0.0989985518910402,0.048598485265872196,0.16545435158138388,1.0,0.5806382584063644,0.2850358849392145,0.9704094121872071,equal-weights
6410e0ba81f88046afa861ca,7.0,0.0,high_reward,0.5962292096159243,0.1523006193376287,0.08890585750380915,0.2317042734684143,2.0,0.6921247057951685,0.4040294828472045,1.0529717659932558,equal-weights
673d00ce7364481560d1f3b6,8.0,0.0,low_reward,0.4887634071456463,0.15616719930917702,0.0930870475293222,0.23818681253108948,1.0,0.8281565408439889,0.49364173539823036,1.2631075386700052,equal-weights
673d00ce7364481560d1f3b6,8.0,0.0,high_reward,0.4788617438947425,0.22653546550890966,0.1502010538422651,0.31875987423727303,2.0,1.221463441457095,0.8098736139372396,1.7187310256679302,full
63c5c3192e709e19fc67d5dd,9.0,0.0,low_reward,0.21033896541011346,0.04181762060268864,0.011376661502226396,0.09123722312329695,1.0,0.4688373135546195,0.12754918474680385,1.0229040765308328,equal-weights
63c5c3192e709e19fc67d5dd,9.0,0.0,high_reward,0.040178390802669224,0.0199883457039334,0.001154284415721714,0.05829542061780618,2.0,1.1212852889198406,0.0647518385837952,3.2701954688164845,full
66ec318029fc5a15efe40c57,10.0,0.0,low_reward,0.5810057967649145,0.17608446579794243,0.109276031269327,0.2592048541458996,1.0,0.8157647407515625,0.5062543871477834,1.2008451721488949,equal-weights
66ec318029fc5a15efe40c57,10.0,0.0,high_reward,0.6142101944085755,0.18778833734889747,0.11807735046475641,0.27380892558809283,2.0,0.835055049886489,0.5250650236048353,1.2175704265996221,equal-weights
612e44861dc0709ab9f444ba,11.0,0.0,low_reward,-0.015041312649273234,0.0011923229648787169,-0.002457020762471063,0.019824927235005584,1.0,-134129266973.2504,276400273680.73315,-2230186816958.4497,equal-weights
612e44861dc0709ab9f444ba,11.0,0.0,high_reward,0.22141555459873025,0.09356053233173633,0.044880582091099366,0.15936318088456022,2.0,0.9997300923761466,0.47956619486452334,1.702856573989752,full
