subject_ID,subject_index,run,opt_betastar,opt_loss,opt_BIC,opt_rel_entropy,oneback_betastar,oneback_loss,oneback_BIC,oneback_rel_entropy,fullparam_betastar,fullparam_h,fullparam_loss,fullparam_BIC,fullparam_rel_entropy,best_model,best_model_betastar,best_model_loss,best_model_BIC,best_model_rel_entropy
6107f24d21eaa93618cf9191,0.0,1.0,2.4107634329054295,166.080933446477,338.36237606699666,0.15341210251626397,2.0988237531079443,260.44736344638983,527.0952360668224,0.34482473943292297,2.8248461258962076,0.9580193148326703,156.9552875595785,326.31159346724235,0.13490166461180456,fullparam,2.8248461258962076,156.9552875595785,326.31159346724235,0.13490166461180456
6107f24d21eaa93618cf9191,0.0,2.0,3.9721644957433466,70.80257627417137,147.80566172238542,0.08161160209110792,2.0598169433492575,262.9424979696679,532.0855051133785,0.4713477515748737,4.018743466567636,0.988208013467933,70.70688731565463,153.81479297939464,0.08141750684056688,fully_optimal,3.9721644957433466,70.80257627417137,147.80566172238542,0.08161160209110792
5f4d296913fe2f98d46f520c,1.0,1.0,1.0082637805221109,295.33719271776886,596.8748946095805,0.20464044454531652,1.90855426221641,272.4636588897422,551.1278269535271,0.1582438242044916,1.8327673096486803,0.6912147065549301,268.74221994612424,549.8854582403338,0.15069526650952633,fullparam,1.8327673096486803,268.74221994612424,549.8854582403338,0.15069526650952633
5f4d296913fe2f98d46f520c,1.0,2.0,0.35333976609023043,335.4576290596842,677.1157672934112,0.1308926058439308,0.4696140242956174,336.877070489797,679.9546501536367,0.1337717973857418,0.45861733384000486,0.9010890274257021,334.2984421708601,680.9979026898055,0.12854131398019017,fully_optimal,0.35333976609023043,335.4576290596842,677.1157672934112,0.1308926058439308
6441a242a7d85d5c3e49a173,2.0,1.0,4.453652917700945,54.17908398717259,114.55867714838787,0.08984091965346774,2.0022296903749033,266.5981779598343,539.3968650937113,0.5207112928231669,4.406660637907826,0.9915878071417791,54.078239524293224,120.55749739667183,0.08963636699042643,fully_optimal,4.453652917700945,54.17908398717259,114.55867714838787,0.08984091965346774
6441a242a7d85d5c3e49a173,2.0,2.0,4.797159307179979,44.93203960787922,96.06458838980113,0.07495754871146179,2.0598171567907415,262.942497969666,532.0855051133748,0.5171694317982504,4.743503289516129,0.9915428773325731,44.831463071960044,102.06394449200548,0.07475353951081438,fully_optimal,4.797159307179979,44.93203960787922,96.06458838980113,0.07495754871146179
6108db64c7f625e1c1f8527f,3.0,1.0,3.1713197468306644,110.74557905900937,227.69166729206142,0.11248916068313691,2.475987572826958,235.78906808516652,477.7786453443757,0.3661270694583035,4.026362173159715,0.9521035377989244,96.46874995015126,205.3385182483879,0.0835300752696316,fullparam,4.026362173159715,96.46874995015126,205.3385182483879,0.0835300752696316
6108db64c7f625e1c1f8527f,3.0,2.0,4.005049997090034,69.51161098788086,145.2237311498044,0.08807960376669524,2.4094444021498598,240.1857079306103,486.5719250352633,0.4342745265714203,5.551557687106963,0.9580006391816123,51.22424895796905,114.84951626402349,0.05098556313807091,fullparam,5.551557687106963,51.22424895796905,114.84951626402349,0.05098556313807091
661f0e896898093f2e1e62f7,4.0,1.0,1.4515631369419748,255.32234808639666,516.845205346836,0.2207726193227318,2.735701716004056,218.6050361362294,443.41058144650145,0.14629531313577993,2.733910909505975,0.7679594133638084,205.12313465451868,422.6472876571227,0.11894865698626533,fullparam,2.733910909505975,205.12313465451868,422.6472876571227,0.11894865698626533
661f0e896898093f2e1e62f7,4.0,2.0,1.2502977969486855,274.1934969841211,554.587503142285,0.23818310535884865,2.9432775606497183,204.98263925360868,416.16578768126004,0.09779597000283949,2.8822193373691642,0.6539337669093434,200.14845043376297,412.6979192156113,0.08799031316745273,fullparam,2.8822193373691642,200.14845043376297,412.6979192156113,0.08799031316745273
