subject_ID,subject_index,run,Ixr,Iry,Iry_CI_lower,Iry_CI_upper,info_efficiency,info_efficiency_CI_lower,info_efficiency_CI_upper,bound_class
6107f24d21eaa93618cf9191,0.0,1.0,0.5825288565992343,0.45423932752943996,0.3753348817314893,0.5408547113028177,1.018444174620777,0.8415335279542454,1.2126434164969053,full
6107f24d21eaa93618cf9191,0.0,2.0,0.7834223352206082,0.5548430254599173,0.4686673795206686,0.6454224328029973,0.9629446465244595,0.8133845491452026,1.1201475875077707,full
5f4d296913fe2f98d46f520c,1.0,1.0,0.22903278860380394,0.10527908839409218,0.06311479669316772,0.15829236055501764,0.5782365647417963,0.34665272829511073,0.8694075166150425,1back
5f4d296913fe2f98d46f520c,1.0,2.0,-0.02798963026600546,0.004792133133070246,-0.0014690623456029834,0.02119317452036053,-1239141749721.955,379867677886.2429,-5480095529085.825,1back
6441a242a7d85d5c3e49a173,2.0,1.0,0.8677993972328792,0.635839435949211,0.5537943480860599,0.7181460091879257,1.0222465477403426,0.8903416939592088,1.1545717946385776,full
6441a242a7d85d5c3e49a173,2.0,2.0,0.8785347103599025,0.6466759467041558,0.5616457614751937,0.7251462117782533,1.031037210048622,0.8954680963446079,1.1561474195532697,full
6108db64c7f625e1c1f8527f,3.0,1.0,0.6993653832685095,0.5502926452263196,0.4731412131645251,0.6306125852357048,1.0491210953212975,0.9020335490630922,1.202249333849965,full
6108db64c7f625e1c1f8527f,3.0,2.0,0.8095456828398062,0.6045354581230917,0.528090347368188,0.6770722265441569,1.022599441673079,0.8932890322898065,1.1452987108250423,full
661f0e896898093f2e1e62f7,4.0,1.0,0.36649679604336943,0.17783645181489127,0.12550600978221224,0.2390179690193671,0.6171326148427837,0.43553417314017157,0.8294462845495323,none
661f0e896898093f2e1e62f7,4.0,2.0,0.3567342483921014,0.16635774269225684,0.11509363963410414,0.22501276512568993,0.5924809823892732,0.4099045320861099,0.8013800979399847,1back
5654171504212700054a12ad,5.0,1.0,0.8722914091142627,0.2732049435872664,0.20479943834047995,0.3437100871098976,0.4376782434209249,0.32809164156951615,0.5506284959454318,1back
5654171504212700054a12ad,5.0,2.0,0.7166237035948804,0.35766048729320027,0.2824056862615304,0.43498256339208247,0.6679273317531869,0.527389754244675,0.812325524478361,none
65ebb614d2f7accb27486117,6.0,1.0,0.8831287940493521,0.6222009328204692,0.5412570306142876,0.7118541022048109,0.9885685659549308,0.8599628485638742,1.1310117871340386,full
65ebb614d2f7accb27486117,6.0,2.0,0.8247153070065965,0.5972780928025759,0.5156706402115474,0.689065794927447,0.9961844121384795,0.8600734896634037,1.1492747048926628,full
5e35de293e64955878774717,7.0,1.0,0.4118051985090764,0.25658147243091906,0.19427116562520458,0.32739322512401137,0.7957600119594296,0.6025112554567134,1.0153750942023398,full
5e35de293e64955878774717,7.0,2.0,0.3440785574549048,0.2551587407016127,0.1880754966590033,0.3296749254512063,0.9408190617521892,0.6934703150625093,1.2155744819611678,full
60d6befca58e40d0c63bba9f,8.0,1.0,-0.01977100368299654,0.00875975588273423,-0.001020607503998945,0.027737033994720797,-2265082987106.8545,263906976948.77075,-7172195738705.463,1back
60d6befca58e40d0c63bba9f,8.0,2.0,0.07192157418804726,0.0028124162723840644,-0.0016856915387388417,0.02032769441655214,0.048481328406529564,-0.0290584882060964,0.3504152775794563,none
5f4825f51e38a119965b561a,9.0,1.0,0.39996421635938734,0.22228358656788827,0.16181376414839796,0.29313351139990695,0.7090848131558231,0.5161860328457685,0.9350961281940234,none
5f4825f51e38a119965b561a,9.0,2.0,0.5606884559281111,0.3539790695252939,0.28149353584732395,0.4348402616779734,0.8218647682653769,0.6535686415516474,1.0096074080755404,full
5fc44569444cef8809245f94,10.0,1.0,0.9251444357813912,0.2698089261201851,0.20241266843385083,0.3389904597283855,0.4167351152236065,0.312637791178651,0.5235898986962514,1back
5fc44569444cef8809245f94,10.0,2.0,0.9162351177263296,0.2732049435872664,0.20522729617752858,0.3436933896216455,0.4242827655083877,0.3187146017077752,0.5337501581081204,1back
60bf9943e4e04642d4634ecc,11.0,1.0,0.17856349874210425,0.05772462239695276,0.02664029831307814,0.09814587663708335,0.405438798943181,0.18711271036590843,0.689344419982993,1back
60bf9943e4e04642d4634ecc,11.0,2.0,0.26777419581983714,0.0918739406259255,0.05210677834820283,0.13823279610455513,0.43226874664501846,0.2451634447682702,0.6503880981947432,1back
61103c2b7810420e5f23f437,12.0,1.0,0.563670452908768,0.38502814347231806,0.30657428554189614,0.47370103565764227,0.8896362408655374,0.7083627510339103,1.0945215714779957,full
61103c2b7810420e5f23f437,12.0,2.0,0.6161941255717348,0.44796597904802943,0.3733430382484449,0.5323259609324728,0.9545341845227976,0.795526243575596,1.1342899925097063,full
5bed01c8306ec30001fb80e2,13.0,1.0,0.6959225203326367,0.4989062143648022,0.41251167248037796,0.5872870048832837,0.9552373165823311,0.789820875614344,1.124456754507728,full
5bed01c8306ec30001fb80e2,13.0,2.0,0.7664747075246539,0.5140367939934041,0.43550700663832825,0.6030038297196274,0.9078535798857853,0.7691601061674627,1.064980545931167,full
6642864514779d1334695e65,14.0,1.0,0.7314425561173592,0.5126805006922501,0.43714500439276605,0.5965293154972278,0.9410658932127922,0.8024144734721076,1.0949770712129994,full
6642864514779d1334695e65,14.0,2.0,0.8358728258779159,0.6167407486328934,0.5345355365258118,0.7045439765318356,1.0183856598859171,0.8826453032396216,1.1633696720209776,full
659d779096ebe05ecca2ebce,15.0,1.0,-0.035681405268026004,-0.0006599295255309918,-0.001814661321078218,0.009155295431481686,170643470089.85025,469232081436.96954,-2367360940350.014,full
659d779096ebe05ecca2ebce,15.0,2.0,-0.05348570946501982,0.0063861527681283795,-0.001747291913271274,0.02642833728437971,-1651320673977.2578,451811812936.5942,-6833795137871.478,1back
660468936857e5fb0964cd60,16.0,1.0,0.4076971870683973,0.15476606124567321,0.10677794565854579,0.21780632156764249,0.48466088585641937,0.33438270197140013,0.682075927412367,1back
660468936857e5fb0964cd60,16.0,2.0,0.709276993621508,0.24543316989798028,0.18330264384365808,0.3209293449637887,0.46232856144360085,0.3452917454974555,0.6045425825849898,1back
610ad9de7928e140edf063f8,17.0,1.0,0.4805021470693224,0.34039934366793145,0.26947907789889686,0.41758088698469153,0.9123360960014555,0.7222560632319849,1.119197563929761,full
610ad9de7928e140edf063f8,17.0,2.0,0.5506597604188428,0.4315251405829791,0.34817855752015475,0.5167739482120184,1.0185359771398963,0.8218116488505198,1.2197501577578573,full
62950797c66ad6f3715bb6e6,18.0,1.0,0.8419333246228655,0.6136977501674213,0.5268694151099793,0.6967392006531041,1.0080416258799347,0.8654199916636227,1.1444430364117142,full
62950797c66ad6f3715bb6e6,18.0,2.0,0.7825017998863552,0.550773646763125,0.4691711454147826,0.6361517837667142,0.9567765775196957,0.8150207719978462,1.105091229459522,full
6542923cf0793b2a3dc55d69,19.0,1.0,0.55274324003672,0.23716447650270012,0.17714855621884934,0.30504463447190877,0.5578600925787779,0.4166901866153594,0.7175283184757271,1back
6542923cf0793b2a3dc55d69,19.0,2.0,0.6887067387248536,0.2671267463803904,0.19720980054947948,0.3395577706757874,0.5161014228550067,0.3810185990121806,0.6560415643954126,1back
5fd85c9f4bf0b61a395593c7,20.0,1.0,0.7647836181903491,0.5722652104939189,0.49262790296807074,0.6537612016248066,1.0125254008672124,0.8716208075982987,1.1567186168372223,full
5fd85c9f4bf0b61a395593c7,20.0,2.0,0.7900343012007548,0.557985854524844,0.47809146571409433,0.6462319407519895,0.9619398752063052,0.8242059205207664,1.1140717410670835,full
62d2aee15e1dc6709bdcace0,21.0,1.0,0.4455067807038819,0.33194119560281643,0.25979938021954463,0.40677907106785605,0.9548609663121216,0.7473380542394475,1.1701393560688391,full
62d2aee15e1dc6709bdcace0,21.0,2.0,0.6808448621827654,0.49314893755835587,0.41178167018648715,0.582889241304356,0.96230633616214,0.8035302930952669,1.137421106420916,full
5dd742a140460e6e2b707d58,22.0,1.0,0.20517961766292026,0.140939404622511,0.09286937493391803,0.19468710348535065,0.8630230519866338,0.5686728392689657,1.1921396906875301,full
5dd742a140460e6e2b707d58,22.0,2.0,0.5352764935732818,0.3943146892365121,0.318472801594912,0.470545915249431,0.955016292325181,0.7713299110780958,1.1396456373978259,full
