subject_ID,subject_index,exclude_Ixr,trial_ID,trial_index,observation_1,observation_2,observation_3,observation_4,observation_5,latent_state,optimal_choice,correct,intertrial_duration,trial_start_time,choice,rt,observation_encoding,observation_encoding_ew,observation_encoding_iw
5e8a69c836bc63718a82cb90,0.0,0.0,368.0,32.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,0.3767,1283.7745,2.0,0.1091,122.0,14,2.0
5e8a69c836bc63718a82cb90,0.0,0.0,565.0,33.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,0.5603,1285.9065,2.0,0.1866,230.0,23,230.0
5e8a69c836bc63718a82cb90,0.0,0.0,20.0,34.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,0.4946,1288.2906,1.0,0.4307,1121.0,23,1001.0
5e8a69c836bc63718a82cb90,0.0,0.0,470.0,35.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,0.4773,1290.8569,2.0,0.2585,1031.0,14,1001.0
5e8a69c836bc63718a82cb90,0.0,0.0,159.0,36.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,0.526,1293.24,1.0,0.3146,410.0,41,410.0
5e8a69c836bc63718a82cb90,0.0,0.0,101.0,37.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,0.6124,1295.7232,2.0,0.4256,320.0,32,320.0
5e8a69c836bc63718a82cb90,0.0,0.0,220.0,38.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,0.564,1298.4743,1.0,0.0152,3110.0,41,3000.0
5e8a69c836bc63718a82cb90,0.0,0.0,106.0,39.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,0.3415,1300.7674,1.0,0.1081,320.0,32,320.0
5e8a69c836bc63718a82cb90,0.0,0.0,294.0,40.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,0.5077,1302.8568,1.0,0.1591,3200.0,50,3000.0
5e8a69c836bc63718a82cb90,0.0,0.0,191.0,41.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.9913,1318.6946,1.0,0.4357,1310.0,41,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,326.0,42.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.8505,1323.8238,1.0,0.2494,32.0,5,2.0
5e8a69c836bc63718a82cb90,0.0,0.0,97.0,43.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.546,1326.6242,1.0,0.2517,320.0,32,320.0
5e8a69c836bc63718a82cb90,0.0,0.0,358.0,44.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.2767,1330.1239,2.0,0.26,122.0,14,2.0
5e8a69c836bc63718a82cb90,0.0,0.0,532.0,45.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.1941,1333.3077,2.0,0.2435,140.0,14,140.0
5e8a69c836bc63718a82cb90,0.0,0.0,540.0,46.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0237,1336.3915,2.0,0.2126,140.0,14,140.0
