subject_ID,subject_index,opt_betastar,opt_loss,opt_BIC,equalweights_betastar,equalweights_loss,equalweights_BIC,ignoreweak_betastar,ignoreweak_loss,ignoreweak_BIC,fullparam_betastar,fullparam_WSratio,fullparam_loss,fullparam_BIC,best_model,best_model_betastar,best_model_loss,best_model_BIC
670abd8132c06341bf800b15,0.0,1.2157243520152188,373.0205016253574,752.4379329059309,1.2476998429997805,376.36757104321975,759.1320717416556,1.1672433754808247,380.9035592688675,768.2040481929512,1.319188304650855,2.0138313992391197,372.48636332727847,757.7665859649892,fully_optimal,1.2157243520152188,373.0205016253574,752.4379329059309
65654bb65a81489784483bf0,1.0,1.6356337412032482,344.5597253050041,695.5163802652244,1.8184685152449933,340.7101929736284,687.817315602473,1.3979825473497358,367.56220469905406,741.5213390533243,2.134916093750246,1.3305455903208276,339.3863615530266,691.5665824164854,equalweights,1.8184685152449933,340.7101929736284,687.817315602473
66e8661e0c5e57cda7bf2d39,2.0,3.4036670335300347,223.26300987797126,452.92294941115864,3.450171131069985,236.03193751493603,478.4608046850882,2.8596687764411723,269.9503174455003,546.2975645462167,3.969628433463529,1.8333099679828295,218.472903959104,449.7396672286403,fullparam,3.969628433463529,218.472903959104,449.7396672286403
6555776099f743902858ed4b,3.0,4.03942835923014,190.00383190937694,386.40459347397,6.08572027335693,126.36872203989738,259.1343737350109,2.5654798769318305,289.4421479421861,585.2812255395884,8.406410846389324,0.9798109738411972,127.88567858852937,268.56521648749106,equalweights,6.08572027335693,126.36872203989738,259.1343737350109
6711729a71c35dc0418b2ef3,4.0,5.065718128002335,149.14920773996542,304.69534513514697,8.353672414161153,74.17877458856853,154.75447883235321,2.8734324805528795,269.0580156487015,544.5129609526191,11.629202298060783,1.0576980214288483,73.70226544438243,160.19839019919715,equalweights,8.353672414161153,74.17877458856853,154.75447883235321
67248c6473f64cba91aeb26a,5.0,3.537772444922666,215.6928743256508,437.7826783065177,3.4859996773904762,234.01529756554356,474.42752478630325,2.9389811920621396,264.83568602199864,536.0683016992134,3.95525921920575,1.9777425499436618,213.1820401054996,439.1579395214315,fully_optimal,3.537772444922666,215.6928743256508,437.7826783065177
66cd67397d0820f840d8d5c6,6.0,1.743728081556645,336.7705864070893,679.9381024693947,2.1892028896261246,315.765617040199,637.9281637356141,1.3585881457229607,369.9354870175895,746.2679036903951,2.890963142716366,0.8565736020226008,316.82192464882405,646.4377086080804,equalweights,2.1892028896261246,315.765617040199,637.9281637356141
672b7d44ca2394e30e6092ab,7.0,4.460896966741633,168.76334912781695,343.9152596611795,7.4811623488153565,89.77105269934773,185.9306668042411,2.641453154605347,281.295448120096,568.9794576457376,10.801295447946096,0.9207516414500873,91.23546576249399,195.24805433607924,equalweights,7.4811623488153565,89.77105269934773,185.9306668042411
5930c7fdfa699e0001017cc1,8.0,1.2366077000591276,371.70112749502766,749.7991846452715,1.634393536024437,352.76921074727574,711.9353511497676,0.9213585404917274,393.3364549433408,793.0698395418977,2.475323520454568,0.5233306061992656,348.17284880810917,709.1395569266506,fullparam,2.475323520454568,348.17284880810917,709.1395569266506
671819681e82990c9080f28d,9.0,1.5359862159736024,351.6156827850643,709.6282952253447,1.5712410939396906,356.81101247116504,720.0189545975462,1.4755707131879048,362.78887313862185,731.9746759324598,1.684510780766229,1.9675713640260941,350.7885179704122,714.3708952512567,fully_optimal,1.5359862159736024,351.6156827850643,709.6282952253447
629531cb501e6d23d9797050,10.0,5.053341094686206,149.56048905454668,305.5179077643095,3.9107449882759706,211.3433543386,429.0836383324161,4.450142301400882,183.14663014512598,372.6901899454681,4.720355256309603,2.9423022293011685,148.1234099094815,309.0406791293953,fully_optimal,5.053341094686206,149.56048905454668,305.5179077643095
661770012a3c83b4bdaff645,11.0,2.6499298624460224,271.1809398292395,548.7588093136951,2.0284700210293645,326.6306296074737,659.6581888701635,3.2463330881246195,245.70083978148665,497.7986092181894,2.2590684340340244,4.919611608076858,258.87649310816386,530.54684552676,ignoreweak,3.2463330881246195,245.70083978148665,497.7986092181894
654e3fca4ff8d33df725feae,12.0,4.355985926892393,175.83659647097397,358.0701225971641,3.0208169617598557,261.4256476669163,529.2482249890487,5.159925917843718,155.5743685552369,317.54566676568993,3.641425816999417,5.318937443046867,153.70429805550387,320.20245542144005,ignoreweak,5.159925917843718,155.5743685552369,317.54566676568993
61489a7c8f9dfcc9f78b7c36,13.0,6.390040960509266,113.79499316067464,233.98691597656543,5.379244278147198,149.09550820244448,304.5879460601051,4.014309973944882,203.42077079513294,413.238471245482,7.628250955122138,1.953718783199145,107.73384572375508,228.26155075794244,fullparam,7.628250955122138,107.73384572375508,228.26155075794244
66ba1b5273949100f8de1c0e,14.0,0.7368103504976021,398.9827242143183,804.3623780838527,1.0329072494684304,387.8853293995041,782.1675884542243,0.5405241402260842,407.82333245075904,822.0435945567342,1.667364313658098,0.3691205643140051,383.54850916231214,779.8908776350565,fullparam,1.667364313658098,383.54850916231214,779.8908776350565
568e7144e3ef9e000da20149,15.0,2.32824889241642,293.96872912665685,594.3343879085298,2.193016030247673,315.5078181645696,637.4125659843553,2.2562946399829715,310.5384646078651,627.4738588709463,2.352548447926334,2.4317480111498817,293.94646034179357,600.6867799940194,fully_optimal,2.32824889241642,293.96872912665685,594.3343879085298
5e837e917441520b9c662931,16.0,2.8320761169377886,258.81814724358463,524.0332241423854,2.804108247497745,275.04469686249865,556.4863233802134,2.6417411276248055,284.3199266192335,575.0367828936832,3.1506134178390406,1.963907370743295,256.67593635726547,526.1457320249632,fully_optimal,2.8320761169377886,258.81814724358463,524.0332241423854
66f480695684a9ff1f525bf8,17.0,0.542814216170534,404.53480063062784,815.4615183746483,0.5303097918666535,406.0720352944929,818.5359877023784,0.46145977541145594,407.94736183053556,822.2866407744638,0.5569920039704469,2.319403826535317,404.51830488782133,821.8204440024278,fully_optimal,0.542814216170534,404.53480063062784,815.4615183746483
671cbb68f651eede3c043bc5,18.0,2.3521467888654244,292.24201608416143,590.880961823539,2.6217909058179454,286.85610660392854,580.1091428630732,1.98543916981446,329.1447255536253,664.6863807624667,3.0628348641197904,1.4314284255678247,283.03329885709127,578.8604570246148,fullparam,3.0628348641197904,283.03329885709127,578.8604570246148
