subject_ID,subject_index,exclude_Ixr,Ixr,Iry,Iry_CI_lower,Iry_CI_upper,info_efficiency,info_efficiency_CI_lower,info_efficiency_CI_upper,bound_class,opt_betastar,opt_loss,opt_BIC,opt_rel_entropy,equalweights_betastar,equalweights_loss,equalweights_BIC,equalweights_rel_entropy,ignoreweak_betastar,ignoreweak_loss,ignoreweak_BIC,ignoreweak_rel_entropy,fullparam_betastar,fullparam_WSratio,fullparam_loss,fullparam_BIC,fullparam_rel_entropy,best_model,best_model_betastar,best_model_loss,best_model_BIC,best_model_rel_entropy
670abd8132c06341bf800b15,0.0,0.0,0.1264909061466413,0.06324272602302633,0.03327453972476691,0.09899074684651893,1.150958307136407,0.6055654194668474,1.8015387630690556,full,1.2157243520152188,373.0205016253574,752.4379329059309,0.087036401946901,1.2476998429997803,376.36757104321975,759.1320717416556,0.0926148509766716,1.167243375480825,380.9035592688675,768.2040481929512,0.100174831352751,1.319188304650855,2.01383139923912,372.48636332727847,757.7665859649892,0.0861461714501028,fully_optimal,1.2157243520152188,373.0205016253574,752.4379329059309,0.087036401946901
65654bb65a81489784483bf0,1.0,0.0,0.25169228147147815,0.06170339130059617,0.03384369974773458,0.097363306044057,0.5854037651840243,0.3210881742879182,0.9237230684985825,equal-weights,1.6356337412032482,344.5597253050041,695.5163802652244,0.1049096333892474,1.8184685152449933,340.7101929736284,687.817315602473,0.098493746170288,1.3979825473497358,367.56220469905406,741.5213390533243,0.1432470990459974,2.134916093750246,1.3305455903208276,339.3863615530266,691.5665824164854,0.0962873604692848,equalweights,1.8184685152449933,340.7101929736284,687.817315602473,0.098493746170288
66e8661e0c5e57cda7bf2d39,2.0,0.0,0.5155609959165274,0.18589235327434656,0.13324209413911461,0.24754858393258516,0.94448839755672,0.6769811117234422,1.2577535398180808,full,3.4036670335300347,223.26300987797129,452.9229494111586,0.0750495338924929,3.450171131069985,236.03193751493603,478.4608046850882,0.0963310799541009,2.8596687764411723,269.9503174455003,546.2975645462167,0.1528617131717079,3.969628433463529,1.8333099679828293,218.472903959104,449.7396672286403,0.0670660240277142,fullparam,3.969628433463529,218.472903959104,449.7396672286403,0.0670660240277142
6555776099f743902858ed4b,3.0,0.0,0.7138477091884781,0.1856871813110325,0.13526025577647707,0.2429642951523789,0.7449648084368524,0.5426552862841914,0.9747568373715887,equal-weights,4.03942835923014,190.0038319093769,386.40459347397,0.1504503517009052,6.08572027335693,126.36872203989738,259.1343737350109,0.0443918352517726,2.5654798769318305,289.4421479421861,585.2812255395884,0.3161808784222539,8.406410846389324,0.9798109738411972,127.88567858852936,268.56521648749106,0.0469200961661592,equalweights,6.08572027335693,126.36872203989738,259.1343737350109,0.0443918352517726
6711729a71c35dc0418b2ef3,4.0,0.0,0.8312847107357787,0.2183349897927556,0.16675509227675078,0.2844411318351668,0.8019555190701851,0.6124999328386874,1.0447667400552894,equal-weights,5.065718128002335,149.14920773996542,304.69534513514697,0.154586602451945,8.353672414161153,74.17877458856853,154.7544788323532,0.0296358805329502,2.8734324805528795,269.0580156487015,544.5129609526191,0.3544346156331718,11.629202298060784,1.0576980214288485,73.70226544438243,160.19839019919715,0.0288416986259734,equalweights,8.353672414161153,74.17877458856853,154.7544788323532,0.0296358805329502
67248c6473f64cba91aeb26a,5.0,0.0,0.5003394063633397,0.1716658588569016,0.12274608056948089,0.22362757067885713,0.893323094154593,0.6387519872607984,1.1637239618137385,equal-weights,3.537772444922666,215.6928743256508,437.7826783065177,0.0580551730593467,3.485999677390476,234.0152975655436,474.42752478630325,0.0885925451258347,2.93898119206214,264.83568602199864,536.0683016992134,0.1399598592199265,3.95525921920575,1.9777425499436616,213.1820401054996,439.1579395214315,0.0538704493590948,fully_optimal,3.537772444922666,215.6928743256508,437.7826783065177,0.0580551730593467
66cd67397d0820f840d8d5c6,6.0,0.0,0.2538025577368819,0.07362422436727757,0.04138338142939975,0.11330999571190385,0.6931573418200189,0.389616256247799,1.0667909387743446,equal-weights,1.743728081556645,336.7705864070893,679.9381024693947,0.100171141930765,2.1892028896261246,315.765617040199,637.9281637356141,0.0651628596526145,1.3585881457229607,369.9354870175895,746.2679036903951,0.1554459762815985,2.890963142716366,0.8565736020226008,316.82192464882405,646.4377086080804,0.0669233723336562,equalweights,2.1892028896261246,315.765617040199,637.9281637356141,0.0651628596526145
672b7d44ca2394e30e6092ab,7.0,0.0,0.7995306742482503,0.21759384191868714,0.16368763321263569,0.2772370976787047,0.8159123106642073,0.6137800310156987,1.0395568136225097,equal-weights,4.460896966741633,168.76334912781695,343.9152596611795,0.1699037312315053,7.4811623488153565,89.77105269934773,185.9306668042411,0.0371435691668511,2.641453154605347,281.295448120096,568.9794576457376,0.3590333093697895,10.801295447946096,0.9207516414500873,91.235465762494,195.24805433607924,0.039604767592307,equalweights,7.4811623488153565,89.77105269934773,185.9306668042411,0.0371435691668511
5930c7fdfa699e0001017cc1,8.0,0.0,0.1920838023881043,0.0442908524180295,0.021384810200579436,0.07651322429730992,0.540813857006295,0.26111941980179804,0.9342654224322766,equal-weights,1.2366077000591276,371.70112749502766,749.7991846452715,0.1085864588411635,1.634393536024437,352.76921074727574,711.9353511497676,0.077033264261577,0.9213585404917274,393.3364549433408,793.0698395418977,0.1446453379216854,2.475323520454568,0.5233306061992656,348.1728488081092,709.1395569266506,0.0693726610296327,fullparam,2.475323520454568,348.1728488081092,709.1395569266506,0.0693726610296327
671819681e82990c9080f28d,9.0,0.0,0.16178148190096314,0.06514433178635688,0.03517438472845582,0.1015856465093536,0.9362522093545973,0.5055251088108069,1.4599855946794162,full,1.5359862159736024,351.6156827850643,709.6282952253447,0.0562976181476077,1.5712410939396906,356.81101247116504,720.0189545975462,0.0649565009577756,1.4755707131879048,362.78887313862185,731.9746759324598,0.0749196020702036,1.684510780766229,1.967571364026094,350.7885179704122,714.3708952512567,0.0549190101231876,fully_optimal,1.5359862159736024,351.6156827850643,709.6282952253447,0.0562976181476077
