subject_ID,subject_index,exclude_Ixr,condition,Ixr,Iry,Iry_CI_lower,Iry_CI_upper,info_efficiency,info_efficiency_CI_lower,info_efficiency_CI_upper,bound_class
670abd8132c06341bf800b15,0.0,0.0,run_1,0.15309357255167316,0.057944015311415485,0.022059504457689737,0.11299808449754963,0.8778563821716099,0.33420322481364045,1.7119298536047136,equal-weights
670abd8132c06341bf800b15,0.0,0.0,run_2,0.06157177982466934,0.06390453924299445,0.024133357614037974,0.12381712515387223,2.350411922404884,0.8876260142962199,4.5539996157857,full
65654bb65a81489784483bf0,1.0,0.0,run_1,0.17407574386881897,0.03722143017161602,0.0067568472833549505,0.08458222777496573,0.49901025659932996,0.09058588241030639,1.133954256758107,equal-weights
65654bb65a81489784483bf0,1.0,0.0,run_2,0.311270482529505,0.08604399903181524,0.03939064757024153,0.14491847940389693,0.6726093961074716,0.3079182740530912,1.1328335736769604,equal-weights
66e8661e0c5e57cda7bf2d39,2.0,0.0,run_1,0.47762725695534114,0.208900277162052,0.13715423046568181,0.29644424392845065,1.1287553241800679,0.7410883794656891,1.601783507434991,full
66e8661e0c5e57cda7bf2d39,2.0,0.0,run_2,0.5284071792504118,0.15776570153378977,0.09179753957454337,0.2407276623920884,0.7861521845474396,0.45743045269665816,1.199554629622752,equal-weights
6555776099f743902858ed4b,3.0,0.0,run_1,0.6166507306320025,0.17192701622245524,0.1082679034051857,0.24504372142298053,0.7623327619364006,0.4800651558167312,1.0865357932219861,equal-weights
6555776099f743902858ed4b,3.0,0.0,run_2,0.7693014242282805,0.1924749114974426,0.12590550481988783,0.28513426376359685,0.7376487456461168,0.4825254209900773,1.0927602479180298,equal-weights
6711729a71c35dc0418b2ef3,4.0,0.0,run_1,0.7978791218422129,0.22009581891824442,0.14604676505824257,0.3167544826734596,0.8262338335445825,0.548255660484308,1.1890878790793302,equal-weights
6711729a71c35dc0418b2ef3,4.0,0.0,run_2,0.7978409239616293,0.208900277162052,0.13554065973947477,0.29927644660926284,0.7842267346705479,0.5088294302267644,1.1235054049551139,equal-weights
67248c6473f64cba91aeb26a,5.0,0.0,run_1,0.4564070846322783,0.16353614242605743,0.09954878961881927,0.2434682146685358,0.9172546208676227,0.5583572287143019,1.3655840331447193,equal-weights
67248c6473f64cba91aeb26a,5.0,0.0,run_2,0.49455053915965,0.1729714423232613,0.10716610078329908,0.25308092168739155,0.9085643863714586,0.5629096993712587,1.3293541941189304,equal-weights
66cd67397d0820f840d8d5c6,6.0,0.0,run_1,0.23078960851578528,0.08745180694722055,0.04307427390098557,0.14766617965228307,0.8991276915434293,0.44286417639005066,1.5182162137590274,equal-weights
66cd67397d0820f840d8d5c6,6.0,0.0,run_2,0.25610262278177853,0.056336110308265706,0.019245541237268373,0.11056899798824196,0.5260070211672582,0.17969451141680726,1.032376373643787,equal-weights
672b7d44ca2394e30e6092ab,7.0,0.0,run_1,0.7437930751924495,0.2100443975734403,0.13790112946047606,0.29461461333385663,0.8213347549107126,0.5392335700252566,1.1520289235568502,equal-weights
672b7d44ca2394e30e6092ab,7.0,0.0,run_2,0.8022748645964083,0.2187757932267373,0.14555697619714786,0.31314683788104203,0.818807260911885,0.5447728344565195,1.1720076559057715,equal-weights
5930c7fdfa699e0001017cc1,8.0,0.0,run_1,0.2153072823579958,0.04982547858146032,0.014131709712377783,0.10412866512465205,0.546449243040249,0.15498620976752184,1.1420066972990428,equal-weights
5930c7fdfa699e0001017cc1,8.0,0.0,run_2,0.13478376849653279,0.03524858365357358,0.007701814506054973,0.07927120959453318,0.6036220978427672,0.1318914108728858,1.357497206249724,equal-weights
671819681e82990c9080f28d,9.0,0.0,run_1,0.15345719263266727,0.06735185394737585,0.02635390709538837,0.1253115658126096,1.0180545672746508,0.39835155101973685,1.8941425429438488,full
