subject_ID,subject_index,exclude_Ixr,condition,Ixr,Iry,Iry_CI_lower,Iry_CI_upper,info_efficiency,info_efficiency_CI_lower,info_efficiency_CI_upper,bound_class,opt_betastar,opt_loss,opt_BIC,opt_rel_entropy,equalweights_betastar,equalweights_loss,equalweights_BIC,equalweights_rel_entropy,ignoreweak_betastar,ignoreweak_loss,ignoreweak_BIC,ignoreweak_rel_entropy,fullparam_betastar,fullparam_WSratio,fullparam_loss,fullparam_BIC,fullparam_rel_entropy,best_model,best_model_betastar,best_model_loss,best_model_BIC,best_model_rel_entropy
670abd8132c06341bf800b15,0.0,0.0,run_1,0.15309357255167316,0.057944015311415485,0.020698309694506218,0.1124117874200951,0.8778563821716099,0.31358101726007087,1.703047406840783,equal-weights,1.3184875641196447,183.20599091065944,372.1157642959751,0.1504830391781836,1.4223948347523865,183.03915021063955,371.7820828959353,0.1499269035114506,1.2757160771783895,187.40327943402488,380.51034134270594,0.1644740009227351,1.5661489064692515,1.642554795589299,182.0975528263245,375.6026706019614,0.1467882455637338,equalweights,1.4223948347523865,183.03915021063955,371.7820828959353,0.1499269035114506
670abd8132c06341bf800b15,0.0,0.0,run_2,0.06157177982466934,0.06390453924299445,0.02416846242307697,0.12097789433044177,2.350411922404884,0.8889171708036671,4.449572574187369,full,1.1165927017484814,189.55130269873632,384.8063878721288,0.110618402891982,1.0826093503972558,192.67397356395492,391.05172960256607,0.121027305776044,1.0622184968331003,193.2338939698573,392.1715704143708,0.1228937071290518,1.1240626907273463,2.4513982483584447,189.5491376060955,390.5058401615034,0.1106111859165126,fully_optimal,1.1165927017484814,189.55130269873632,384.8063878721288,0.110618402891982
65654bb65a81489784483bf0,1.0,0.0,run_1,0.17407574386881897,0.03722143017161602,0.008660724103542792,0.08435498018587001,0.49901025659932996,0.11611026597630744,1.1309076549154753,equal-weights,1.472752510645018,178.00717286582213,361.7181282063004,0.1279836193905004,1.5769385149362536,178.2243912853008,362.1525650452578,0.1287076807887626,1.3209298042897708,186.08526837693512,377.8743192285264,0.1549106044275437,1.7134323245093597,1.7042926172627466,177.18622228228529,365.780009513883,0.1252471174453776,fully_optimal,1.472752510645018,178.00717286582213,361.7181282063004,0.1279836193905004
65654bb65a81489784483bf0,1.0,0.0,run_2,0.311270482529505,0.08604399903181524,0.039969437685449194,0.14933581083247469,0.6726093961074716,0.31244269962888127,1.1673640308618205,equal-weights,1.8111738655721268,165.92943850814095,337.5626594909381,0.167740122136327,2.08804423711318,161.30309165694345,328.3099657885431,0.1523189659656688,1.477171542239963,181.34454617200907,368.39287481867433,0.2191238143492208,2.63808869033752,1.0785008255625157,160.31514866499933,332.03786227931107,0.1490258226591884,equalweights,2.08804423711318,161.30309165694345,328.3099657885431,0.1523189659656688
66e8661e0c5e57cda7bf2d39,2.0,0.0,run_1,0.47762725695534114,0.208900277162052,0.13641226970971673,0.2993970201425727,1.1287553241800679,0.7370793270843053,1.6177383061460384,full,3.386153872640137,112.13688166140084,229.9775457974579,0.0928392342789011,3.2156290297464354,124.81413866633687,255.33205980733,0.1350967576286879,2.9424948723365816,132.30531969010488,270.31442185486594,0.1600673610412478,3.59388713419685,2.186506005698869,111.72753904711315,234.86264304353875,0.0914747588979422,fully_optimal,3.386153872640137,112.13688166140084,229.9775457974579,0.0928392342789011
66e8661e0c5e57cda7bf2d39,2.0,0.0,run_2,0.5284071792504118,0.15776570153378977,0.0936301189158351,0.24212301194074254,0.7861521845474396,0.46656226169257253,1.206507706782218,equal-weights,3.421361804944623,111.12350768371314,227.9507978420825,0.1260821434813581,3.716759368524455,110.70771501243364,227.1192124995235,0.1246961679104265,2.7801846472389253,137.57032686776657,280.8444362101893,0.2142382074282029,4.413877249752875,1.569697577632983,105.20461844808985,221.81680184549208,0.1063525126959472,fullparam,4.413877249752875,105.20461844808985,221.81680184549208,0.1063525126959472
6555776099f743902858ed4b,3.0,0.0,run_1,0.6166507306320025,0.17192701622245524,0.10440125866657257,0.2564676826042551,0.7623327619364006,0.4629202647590057,1.137190193390875,equal-weights,3.5296219430413887,108.07220194033034,221.8481863553169,0.1691906998739364,5.164267075605836,78.41517604912667,162.53413457290955,0.0703339469032575,2.35076880441374,152.02612800296703,309.75603848059023,0.315703786749392,7.137251898278549,0.9264010229748798,79.41181648054484,170.2311979104021,0.0736560816746514,equalweights,5.164267075605836,78.41517604912667,162.53413457290955,0.0703339469032575
6555776099f743902858ed4b,3.0,0.0,run_2,0.7693014242282805,0.1924749114974426,0.12252566787422545,0.2794494361193465,0.7376487456461168,0.46957239524734623,1.07097348127727,equal-weights,4.764802840726804,79.83427222421216,165.37232692308052,0.1649496454731716,7.555469991282358,44.80121157707345,95.3062056288031,0.0481727766493759,2.805468054825052,136.74147112293926,279.1867247205347,0.3546403084689286,10.511178649357602,1.042549209671148,44.52792518889181,100.46341532709604,0.0472618220221038,equalweights,7.555469991282358,44.80121157707345,95.3062056288031,0.0481727766493759
6711729a71c35dc0418b2ef3,4.0,0.0,run_1,0.7978791218422129,0.22009581891824442,0.1431938781535427,0.31198953537293295,0.8262338335445825,0.5375459991398783,1.1712003940098639,equal-weights,4.922532782194153,77.00881920589319,159.7214208864426,0.1715789818756078,8.3536739551974,37.08938729428531,79.88255706322681,0.0385142088369149,2.805467791397291,136.74147112293903,279.18672472053424,0.370687821599094,11.817950965546032,1.0060555813333194,36.972580428864255,85.35272580704091,0.0381248526188447,equalweights,8.3536739551974,37.08938729428531,79.88255706322681,0.0385142088369149
6711729a71c35dc0418b2ef3,4.0,0.0,run_2,0.7978409239616293,0.208900277162052,0.13580662356132314,0.29849011074030374,0.7842267346705479,0.5098278776313452,1.1205534432859114,equal-weights,5.221008266558957,72.06770806575227,149.83919860616075,0.1560929480958767,8.353672006288551,37.08938729428441,79.88255706322502,0.0394985455243172,2.9438285339533232,132.262648494912,270.2290794644801,0.356742749526409,11.518445851269451,1.111407090752703,36.53088740572591,84.46933976076423,0.0376368792291222,equalweights,8.353672006288551,37.08938729428441,79.88255706322502,0.0394985455243172
67248c6473f64cba91aeb26a,5.0,0.0,run_1,0.4564070846322783,0.16353614242605743,0.09918141646396908,0.24425471657845277,0.9172546208676227,0.5562966767233473,1.3699954280846407,equal-weights,3.357325112767761,112.97431920857228,231.65242089180077,0.0906555059269577,3.4940409228108,116.78244169634776,239.26866586735176,0.1033492475528761,2.79802994707256,136.98497861614717,279.67373970695047,0.1706910372855407,4.059676946835776,1.711571293215563,109.7691471252896,230.9458591998916,0.0799715989826822,fullparam,4.059676946835776,109.7691471252896,230.9458591998916,0.0799715989826822
