subject_ID,subject_index,exclude_Ixr,Ixr,Iry,Iry_CI_lower,Iry_CI_upper,info_efficiency,info_efficiency_CI_lower,info_efficiency_CI_upper,bound_class
670abd8132c06341bf800b15,0.0,0.0,0.1264909061466413,0.06324272602302633,0.03377470332354163,0.10193117369671685,1.150958307136407,0.614667927931258,1.8550517743287225,full
65654bb65a81489784483bf0,1.0,0.0,0.25169228147147815,0.06170339130059617,0.03266536564913769,0.09917158286832481,0.5854037651840243,0.309908866256,0.9408788850446199,equal-weights
66e8661e0c5e57cda7bf2d39,2.0,0.0,0.5155609959165274,0.18589235327434656,0.1344455133400204,0.2459058637286627,0.94448839755672,0.6830954862667298,1.2494071493092307,full
6555776099f743902858ed4b,3.0,0.0,0.7138477091884781,0.1856871813110325,0.13457396659791326,0.24395672125801462,0.7449648084368524,0.5399019390534814,0.9787383859009632,equal-weights
6711729a71c35dc0418b2ef3,4.0,0.0,0.8312847107357787,0.2183349897927556,0.16375083427394838,0.28188823307662275,0.8019555190701851,0.6014651404385088,1.0353898131092918,equal-weights
67248c6473f64cba91aeb26a,5.0,0.0,0.5003394063633397,0.1716658588569016,0.12353331986560954,0.22821686791667214,0.893323094154593,0.6428486611628814,1.1876059686133404,equal-weights
66cd67397d0820f840d8d5c6,6.0,0.0,0.2538025577368819,0.07362422436727757,0.04182212221281016,0.11352745503167759,0.6931573418200189,0.393746912941168,1.068838274761158,equal-weights
672b7d44ca2394e30e6092ab,7.0,0.0,0.7995306742482503,0.21759384191868714,0.1622280198989373,0.2824389362085235,0.8159123106642073,0.6083069144010248,1.0590621638527458,equal-weights
5930c7fdfa699e0001017cc1,8.0,0.0,0.1920838023881043,0.0442908524180295,0.02085227721064607,0.0769444280277354,0.540813857006295,0.2546169208760442,0.9395306395115482,equal-weights
671819681e82990c9080f28d,9.0,0.0,0.16178148190096314,0.06514433178635688,0.035481740909661476,0.10309627676237977,0.9362522093545973,0.5099424218113656,1.481696323351129,full
629531cb501e6d23d9797050,10.0,0.0,0.6716210764769849,0.23337184377128778,0.1771515942561489,0.29755912539872775,0.9746518075713055,0.7398541262120195,1.242722921251086,full
661770012a3c83b4bdaff645,11.0,0.0,0.42806967643450244,0.13960922031883885,0.0947269048589981,0.19285812187604812,0.8261742831060266,0.5605713758303613,1.1412886643033433,equal-weights
654e3fca4ff8d33df725feae,12.0,0.0,0.6427038402405155,0.20125079389639117,0.1501889927777109,0.2617113971531511,0.8664224950569713,0.6465918436055976,1.1267167563225462,equal-weights
61489a7c8f9dfcc9f78b7c36,13.0,0.0,0.7423371095329813,0.270440451926815,0.21074465181479207,0.33818669311339933,1.0587668184863208,0.8250594277787142,1.3239914612292538,full
66ba1b5273949100f8de1c0e,14.0,0.0,0.11232627255460041,0.006675464536477484,-0.0010513473382892874,0.023427094597803042,0.1363483606375794,-0.021474083976194675,0.4785054171821697,none
