"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","block_rep","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","total_bonus"
"pavlovia","0","1126","0.0-0.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","15764","0.0-1.0-0.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","14492","new_consent.html","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","21211","0.0-1.0-1.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","5445","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","","","","","","","","","","","","","","","","",""
"survey-text","3","24513","0.0-1.0-2.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","3295","","{""Q0"":""24""}","","","","","","","","","","","","","","","","","",""
"instructions","4","26730","0.0-2.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","2115","","","","[{""page_index"":0,""viewing_time"":2115}]","","","","","","","","","","","","","","","",""
"preload","5","31751","0.0-3.0-0.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","","","","","","true","false","[]","[]","[]","","","","","","","","","","",""
"instructions","6","124227","0.0-3.0-1.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","92474","","","","[{""page_index"":0,""viewing_time"":10308},{""page_index"":1,""viewing_time"":8096},{""page_index"":2,""viewing_time"":5374},{""page_index"":3,""viewing_time"":3044},{""page_index"":4,""viewing_time"":14588},{""page_index"":5,""viewing_time"":21588},{""page_index"":6,""viewing_time"":6230},{""page_index"":7,""viewing_time"":4832},{""page_index"":8,""viewing_time"":3314},{""page_index"":9,""viewing_time"":4180},{""page_index"":10,""viewing_time"":8838},{""page_index"":11,""viewing_time"":2082}]","","","","","","","","","","","","","","","",""
"html-button-response","7","127111","0.0-3.0-2.0-0.0-0.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","2883","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","",""
"html-button-response","8","133699","0.0-3.0-2.0-1.0-0.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","4965","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","",""
"html-button-response","9","141927","0.0-3.0-2.0-2.0-0.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","6901","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
"html-button-response","10","145691","0.0-3.0-2.0-3.0-0.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","2495","","1","","","","","","","","<div align=center>When there is a 99% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
"instructions","11","156029","0.0-3.0-3.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","9251","","","","[{""page_index"":0,""viewing_time"":9251}]","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","165092","0.0-3.0-4.0-0.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","9063",""," ","","","","","","","","<div align=center>In this practice block, there will be a <b>1% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","",""
"image-keyboard-response","13","168216","0.0-3.0-4.0-1.0-0.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","3120","","f","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","practice","0","0","0","0","9","0","true","",""
"image-keyboard-response","14","168521","0.0-3.0-4.0-1.0-1.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","",""
"image-keyboard-response","15","169033","0.0-3.0-4.0-1.0-2.0","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","",""
"image-keyboard-response","16","170888","0.0-3.0-4.0-1.0-0.1","63dc047be4fc60aacae88fbe","6662009ae78f21dd82fcd179","6662038fe4bde838531ff44b","1854","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","0","1","0","0","0","0","true","",""
