"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","block_rep","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","total_bonus"
"pavlovia","0","1831","0.0-0.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","7902","0.0-1.0-0.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","5853","new_consent.html","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","16743","0.0-1.0-1.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","8839","","{""Q0"":""Male"",""Q1"":""Other""}","[0,1]","","","","","","","","","","","","","","","","",""
"survey-text","3","19414","0.0-1.0-2.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","2669","","{""Q0"":""34""}","","","","","","","","","","","","","","","","","",""
"instructions","4","21342","0.0-2.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","1808","","","","[{""page_index"":0,""viewing_time"":1808}]","","","","","","","","","","","","","","","",""
"preload","5","23112","0.0-3.0-0.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","","","","","","true","false","[]","[]","[]","","","","","","","","","","",""
"instructions","6","168257","0.0-3.0-1.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","145141","","","","[{""page_index"":0,""viewing_time"":11725},{""page_index"":1,""viewing_time"":11784},{""page_index"":2,""viewing_time"":2880},{""page_index"":3,""viewing_time"":2344},{""page_index"":4,""viewing_time"":6379},{""page_index"":3,""viewing_time"":1989},{""page_index"":4,""viewing_time"":1601},{""page_index"":5,""viewing_time"":1055},{""page_index"":4,""viewing_time"":1360},{""page_index"":5,""viewing_time"":26864},{""page_index"":6,""viewing_time"":28968},{""page_index"":7,""viewing_time"":12962},{""page_index"":8,""viewing_time"":6831},{""page_index"":7,""viewing_time"":936},{""page_index"":8,""viewing_time"":1255},{""page_index"":9,""viewing_time"":6080},{""page_index"":10,""viewing_time"":7432},{""page_index"":9,""viewing_time"":1664},{""page_index"":8,""viewing_time"":3032},{""page_index"":9,""viewing_time"":2312},{""page_index"":8,""viewing_time"":360},{""page_index"":7,""viewing_time"":728},{""page_index"":8,""viewing_time"":640},{""page_index"":9,""viewing_time"":728},{""page_index"":10,""viewing_time"":1928},{""page_index"":11,""viewing_time"":1304}]","","","","","","","","","","","","","","","",""
"html-button-response","7","171265","0.0-3.0-2.0-0.0-0.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","3007","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","",""
"html-button-response","8","176657","0.0-3.0-2.0-1.0-0.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","4168","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","",""
"html-button-response","9","182185","0.0-3.0-2.0-2.0-0.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","4496","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
"html-button-response","10","185801","0.0-3.0-2.0-3.0-0.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","2640","","1","","","","","","","","<div align=center>When there is a 99% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
"instructions","11","191233","0.0-3.0-3.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","4464","","","","[{""page_index"":0,""viewing_time"":4463}]","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","198019","0.0-3.0-4.0-0.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","6785",""," ","","","","","","","","<div align=center>In this practice block, there will be a <b>1% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","",""
"image-keyboard-response","13","204227","0.0-3.0-4.0-1.0-0.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","6196","","f","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","practice","0","0","0","0","9","0","true","",""
"image-keyboard-response","14","204546","0.0-3.0-4.0-1.0-1.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","",""
"image-keyboard-response","15","205066","0.0-3.0-4.0-1.0-2.0","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","",""
"image-keyboard-response","16","206818","0.0-3.0-4.0-1.0-0.1","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","1746","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","0","1","0","0","0","0","true","",""
"image-keyboard-response","17","207126","0.0-3.0-4.0-1.0-1.1","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","",""
"image-keyboard-response","18","207631","0.0-3.0-4.0-1.0-2.1","5c45370eb00b3300018f9cd1","6662009ae78f21dd82fcd179","66620f1b406b34651e8aa313","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","",""
