"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","block_rep","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","total_bonus"
"pavlovia","0","983","0.0-0.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","5224","0.0-1.0-0.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","4137","new_consent.html","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","8672","0.0-1.0-1.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","3447","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","","","","","","","","","","","","","","","","",""
"survey-text","3","11756","0.0-1.0-2.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","3082","","{""Q0"":""41""}","","","","","","","","","","","","","","","","","",""
"instructions","4","13291","0.0-2.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","1424","","","","[{""page_index"":0,""viewing_time"":1424}]","","","","","","","","","","","","","","","",""
"preload","5","14323","0.0-3.0-0.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","","","","","","true","false","[]","[]","[]","","","","","","","","","","",""
"instructions","6","88862","0.0-3.0-1.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","74540","","","","[{""page_index"":0,""viewing_time"":14214},{""page_index"":1,""viewing_time"":5377},{""page_index"":2,""viewing_time"":3272},{""page_index"":3,""viewing_time"":1120},{""page_index"":4,""viewing_time"":15872},{""page_index"":5,""viewing_time"":7656},{""page_index"":6,""viewing_time"":3193},{""page_index"":7,""viewing_time"":8296},{""page_index"":8,""viewing_time"":3489},{""page_index"":9,""viewing_time"":4525},{""page_index"":10,""viewing_time"":6178},{""page_index"":11,""viewing_time"":1349}]","","","","","","","","","","","","","","","",""
"html-button-response","7","91662","0.0-3.0-2.0-0.0-0.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","2799","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","",""
"html-button-response","8","96839","0.0-3.0-2.0-1.0-0.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","3734","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","",""
"html-button-response","9","105583","0.0-3.0-2.0-2.0-0.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","7579","","1","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
"html-button-response","10","107842","0.0-3.0-2.0-2.1-0.1","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","939","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
"html-button-response","11","111550","0.0-3.0-2.0-3.0-0.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","2624","","1","","","","","","","","<div align=center>When there is a 99% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
"instructions","12","126453","0.0-3.0-3.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","13743","","","","[{""page_index"":0,""viewing_time"":13743}]","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","130632","0.0-3.0-4.0-0.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","4178",""," ","","","","","","","","<div align=center>In this practice block, there will be a <b>1% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","",""
"image-keyboard-response","14","136967","0.0-3.0-4.0-1.0-0.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","6333","","f","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","practice","0","0","0","0","9","0","true","",""
"image-keyboard-response","15","137270","0.0-3.0-4.0-1.0-1.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","",""
"image-keyboard-response","16","137787","0.0-3.0-4.0-1.0-2.0","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","",""
"image-keyboard-response","17","140808","0.0-3.0-4.0-1.0-0.1","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","3020","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","0","1","0","0","0","0","true","",""
"image-keyboard-response","18","141119","0.0-3.0-4.0-1.0-1.1","5fc44569444cef8809245f94","6662009ae78f21dd82fcd179","666209e1e4bde838531ff5fa","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","",""
