trial_ID,observation_encoding,observation_encoding_ew,observation_encoding_iw,latent_state
1.0,131.0,14,1.0,0.0
2.0,1031.0,14,1001.0,0.0
3.0,221.0,23,1.0,0.0
4.0,221.0,23,1.0,0.0
5.0,221.0,23,1.0,0.0
6.0,1121.0,23,1001.0,0.0
7.0,1121.0,23,1001.0,0.0
8.0,1121.0,23,1001.0,0.0
9.0,2021.0,23,2001.0,0.0
10.0,311.0,32,1.0,0.0
11.0,311.0,32,1.0,0.0
12.0,311.0,32,1.0,0.0
13.0,1211.0,32,1001.0,0.0
14.0,1211.0,32,1001.0,0.0
15.0,1211.0,32,1001.0,0.0
16.0,1211.0,32,1001.0,0.0
17.0,1211.0,32,1001.0,0.0
18.0,2111.0,32,2001.0,0.0
19.0,2111.0,32,2001.0,0.0
20.0,2111.0,32,2001.0,0.0
21.0,3011.0,32,3001.0,0.0
22.0,401.0,41,1.0,0.0
23.0,1301.0,41,1001.0,0.0
24.0,1301.0,41,1001.0,0.0
25.0,1301.0,41,1001.0,0.0
26.0,2201.0,41,2001.0,0.0
27.0,2201.0,41,2001.0,0.0
28.0,3101.0,41,3001.0,0.0
29.0,50.0,5,50.0,0.0
30.0,140.0,14,140.0,0.0
31.0,140.0,14,140.0,0.0
32.0,140.0,14,140.0,0.0
33.0,140.0,14,140.0,0.0
34.0,1040.0,14,1000.0,0.0
35.0,1040.0,14,1000.0,0.0
36.0,1040.0,14,1000.0,0.0
37.0,230.0,23,230.0,0.0
38.0,230.0,23,230.0,0.0
39.0,230.0,23,230.0,0.0
40.0,230.0,23,230.0,0.0
41.0,230.0,23,230.0,0.0
42.0,230.0,23,230.0,0.0
43.0,230.0,23,230.0,0.0
44.0,230.0,23,230.0,0.0
45.0,230.0,23,230.0,0.0
46.0,230.0,23,230.0,0.0
47.0,230.0,23,230.0,0.0
48.0,230.0,23,230.0,0.0
49.0,1130.0,23,1000.0,0.0
50.0,1130.0,23,1000.0,0.0
51.0,1130.0,23,1000.0,0.0
52.0,1130.0,23,1000.0,0.0
53.0,1130.0,23,1000.0,0.0
54.0,1130.0,23,1000.0,0.0
55.0,1130.0,23,1000.0,0.0
56.0,1130.0,23,1000.0,0.0
57.0,1130.0,23,1000.0,0.0
58.0,1130.0,23,1000.0,0.0
59.0,1130.0,23,1000.0,0.0
60.0,1130.0,23,1000.0,0.0
61.0,1130.0,23,1000.0,0.0
62.0,1130.0,23,1000.0,0.0
63.0,1130.0,23,1000.0,0.0
64.0,1130.0,23,1000.0,0.0
65.0,2030.0,23,2000.0,0.0
66.0,2030.0,23,2000.0,0.0
67.0,2030.0,23,2000.0,0.0
68.0,2030.0,23,2000.0,0.0
69.0,2030.0,23,2000.0,0.0
70.0,320.0,32,320.0,0.0
71.0,320.0,32,320.0,0.0
72.0,320.0,32,320.0,0.0
73.0,320.0,32,320.0,0.0
74.0,320.0,32,320.0,0.0
75.0,320.0,32,320.0,0.0
76.0,320.0,32,320.0,0.0
77.0,320.0,32,320.0,0.0
78.0,320.0,32,320.0,0.0
79.0,320.0,32,320.0,0.0
80.0,320.0,32,320.0,0.0
81.0,320.0,32,320.0,0.0
82.0,320.0,32,320.0,0.0
83.0,320.0,32,320.0,0.0
84.0,320.0,32,320.0,0.0
85.0,320.0,32,320.0,0.0
86.0,320.0,32,320.0,0.0
87.0,320.0,32,320.0,0.0
88.0,1220.0,32,1000.0,0.0
89.0,1220.0,32,1000.0,0.0
90.0,1220.0,32,1000.0,0.0
91.0,1220.0,32,1000.0,0.0
92.0,1220.0,32,1000.0,0.0
93.0,1220.0,32,1000.0,0.0
94.0,1220.0,32,1000.0,0.0
95.0,1220.0,32,1000.0,0.0
96.0,1220.0,32,1000.0,0.0
97.0,1220.0,32,1000.0,0.0
98.0,1220.0,32,1000.0,0.0
99.0,1220.0,32,1000.0,0.0
100.0,1220.0,32,1000.0,0.0
101.0,1220.0,32,1000.0,0.0
102.0,1220.0,32,1000.0,0.0
103.0,1220.0,32,1000.0,0.0
104.0,1220.0,32,1000.0,0.0
105.0,1220.0,32,1000.0,0.0
106.0,1220.0,32,1000.0,0.0
107.0,1220.0,32,1000.0,0.0
108.0,1220.0,32,1000.0,0.0
109.0,1220.0,32,1000.0,0.0
110.0,1220.0,32,1000.0,0.0
111.0,1220.0,32,1000.0,0.0
112.0,1220.0,32,1000.0,0.0
113.0,1220.0,32,1000.0,0.0
114.0,1220.0,32,1000.0,0.0
115.0,1220.0,32,1000.0,0.0
116.0,1220.0,32,1000.0,0.0
117.0,1220.0,32,1000.0,0.0
118.0,1220.0,32,1000.0,0.0
119.0,1220.0,32,1000.0,0.0
120.0,1220.0,32,1000.0,0.0
121.0,1220.0,32,1000.0,0.0
122.0,1220.0,32,1000.0,0.0
123.0,2120.0,32,2000.0,0.0
124.0,2120.0,32,2000.0,0.0
125.0,2120.0,32,2000.0,0.0
126.0,2120.0,32,2000.0,0.0
127.0,2120.0,32,2000.0,0.0
128.0,2120.0,32,2000.0,0.0
129.0,2120.0,32,2000.0,0.0
130.0,2120.0,32,2000.0,0.0
131.0,2120.0,32,2000.0,0.0
132.0,2120.0,32,2000.0,0.0
133.0,2120.0,32,2000.0,0.0
134.0,2120.0,32,2000.0,0.0
135.0,2120.0,32,2000.0,0.0
136.0,2120.0,32,2000.0,0.0
137.0,2120.0,32,2000.0,0.0
138.0,2120.0,32,2000.0,0.0
139.0,2120.0,32,2000.0,0.0
140.0,2120.0,32,2000.0,0.0
141.0,2120.0,32,2000.0,0.0
142.0,2120.0,32,2000.0,0.0
143.0,2120.0,32,2000.0,0.0
144.0,2120.0,32,2000.0,0.0
145.0,2120.0,32,2000.0,0.0
146.0,3020.0,32,3000.0,0.0
147.0,3020.0,32,3000.0,0.0
148.0,3020.0,32,3000.0,0.0
149.0,3020.0,32,3000.0,0.0
150.0,3020.0,32,3000.0,0.0
151.0,410.0,41,410.0,0.0
152.0,410.0,41,410.0,0.0
153.0,410.0,41,410.0,0.0
154.0,410.0,41,410.0,0.0
155.0,410.0,41,410.0,0.0
156.0,410.0,41,410.0,0.0
157.0,410.0,41,410.0,0.0
158.0,410.0,41,410.0,0.0
159.0,410.0,41,410.0,0.0
160.0,410.0,41,410.0,0.0
161.0,410.0,41,410.0,0.0
162.0,410.0,41,410.0,0.0
163.0,410.0,41,410.0,0.0
164.0,410.0,41,410.0,0.0
165.0,1310.0,41,1000.0,0.0
166.0,1310.0,41,1000.0,0.0
167.0,1310.0,41,1000.0,0.0
168.0,1310.0,41,1000.0,0.0
169.0,1310.0,41,1000.0,0.0
170.0,1310.0,41,1000.0,0.0
171.0,1310.0,41,1000.0,0.0
172.0,1310.0,41,1000.0,0.0
173.0,1310.0,41,1000.0,0.0
174.0,1310.0,41,1000.0,0.0
175.0,1310.0,41,1000.0,0.0
176.0,1310.0,41,1000.0,0.0
177.0,1310.0,41,1000.0,0.0
178.0,1310.0,41,1000.0,0.0
179.0,1310.0,41,1000.0,0.0
180.0,1310.0,41,1000.0,0.0
181.0,1310.0,41,1000.0,0.0
182.0,1310.0,41,1000.0,0.0
183.0,1310.0,41,1000.0,0.0
184.0,1310.0,41,1000.0,0.0
185.0,1310.0,41,1000.0,0.0
186.0,1310.0,41,1000.0,0.0
187.0,1310.0,41,1000.0,0.0
188.0,1310.0,41,1000.0,0.0
189.0,1310.0,41,1000.0,0.0
190.0,1310.0,41,1000.0,0.0
191.0,1310.0,41,1000.0,0.0
192.0,1310.0,41,1000.0,0.0
193.0,1310.0,41,1000.0,0.0
194.0,1310.0,41,1000.0,0.0
195.0,1310.0,41,1000.0,0.0
196.0,1310.0,41,1000.0,0.0
197.0,1310.0,41,1000.0,0.0
198.0,1310.0,41,1000.0,0.0
199.0,1310.0,41,1000.0,0.0
200.0,1310.0,41,1000.0,0.0
201.0,2210.0,41,2000.0,0.0
202.0,2210.0,41,2000.0,0.0
203.0,2210.0,41,2000.0,0.0
204.0,2210.0,41,2000.0,0.0
205.0,2210.0,41,2000.0,0.0
206.0,2210.0,41,2000.0,0.0
207.0,2210.0,41,2000.0,0.0
208.0,2210.0,41,2000.0,0.0
209.0,2210.0,41,2000.0,0.0
210.0,2210.0,41,2000.0,0.0
211.0,2210.0,41,2000.0,0.0
212.0,2210.0,41,2000.0,0.0
213.0,2210.0,41,2000.0,0.0
214.0,2210.0,41,2000.0,0.0
215.0,2210.0,41,2000.0,0.0
216.0,2210.0,41,2000.0,0.0
217.0,2210.0,41,2000.0,0.0
218.0,2210.0,41,2000.0,0.0
219.0,2210.0,41,2000.0,0.0
220.0,2210.0,41,2000.0,0.0
221.0,2210.0,41,2000.0,0.0
222.0,2210.0,41,2000.0,0.0
223.0,2210.0,41,2000.0,0.0
224.0,2210.0,41,2000.0,0.0
225.0,2210.0,41,2000.0,0.0
226.0,2210.0,41,2000.0,0.0
227.0,2210.0,41,2000.0,0.0
228.0,2210.0,41,2000.0,0.0
229.0,2210.0,41,2000.0,0.0
230.0,2210.0,41,2000.0,0.0
231.0,2210.0,41,2000.0,0.0
232.0,2210.0,41,2000.0,0.0
233.0,2210.0,41,2000.0,0.0
234.0,2210.0,41,2000.0,0.0
235.0,3110.0,41,3000.0,0.0
236.0,3110.0,41,3000.0,0.0
237.0,3110.0,41,3000.0,0.0
238.0,3110.0,41,3000.0,0.0
239.0,3110.0,41,3000.0,0.0
240.0,3110.0,41,3000.0,0.0
241.0,3110.0,41,3000.0,0.0
242.0,3110.0,41,3000.0,0.0
243.0,3110.0,41,3000.0,0.0
244.0,3110.0,41,3000.0,0.0
245.0,3110.0,41,3000.0,0.0
246.0,3110.0,41,3000.0,0.0
247.0,3110.0,41,3000.0,0.0
248.0,3110.0,41,3000.0,0.0
249.0,3110.0,41,3000.0,0.0
250.0,4010.0,41,4000.0,0.0
251.0,4010.0,41,4000.0,0.0
252.0,500.0,50,500.0,0.0
253.0,500.0,50,500.0,0.0
254.0,500.0,50,500.0,0.0
255.0,500.0,50,500.0,0.0
256.0,1400.0,50,1000.0,0.0
257.0,1400.0,50,1000.0,0.0
258.0,1400.0,50,1000.0,0.0
259.0,1400.0,50,1000.0,0.0
260.0,1400.0,50,1000.0,0.0
261.0,1400.0,50,1000.0,0.0
262.0,1400.0,50,1000.0,0.0
263.0,1400.0,50,1000.0,0.0
264.0,1400.0,50,1000.0,0.0
265.0,1400.0,50,1000.0,0.0
266.0,1400.0,50,1000.0,0.0
267.0,1400.0,50,1000.0,0.0
268.0,1400.0,50,1000.0,0.0
269.0,2300.0,50,2000.0,0.0
270.0,2300.0,50,2000.0,0.0
271.0,2300.0,50,2000.0,0.0
272.0,2300.0,50,2000.0,0.0
273.0,2300.0,50,2000.0,0.0
274.0,2300.0,50,2000.0,0.0
275.0,2300.0,50,2000.0,0.0
276.0,2300.0,50,2000.0,0.0
277.0,2300.0,50,2000.0,0.0
278.0,2300.0,50,2000.0,0.0
279.0,2300.0,50,2000.0,0.0
280.0,2300.0,50,2000.0,0.0
281.0,2300.0,50,2000.0,0.0
282.0,2300.0,50,2000.0,0.0
283.0,2300.0,50,2000.0,0.0
284.0,2300.0,50,2000.0,0.0
285.0,2300.0,50,2000.0,0.0
286.0,3200.0,50,3000.0,0.0
287.0,3200.0,50,3000.0,0.0
288.0,3200.0,50,3000.0,0.0
289.0,3200.0,50,3000.0,0.0
290.0,3200.0,50,3000.0,0.0
291.0,3200.0,50,3000.0,0.0
292.0,3200.0,50,3000.0,0.0
293.0,3200.0,50,3000.0,0.0
294.0,3200.0,50,3000.0,0.0
295.0,3200.0,50,3000.0,0.0
296.0,3200.0,50,3000.0,0.0
297.0,4100.0,50,4000.0,0.0
298.0,4100.0,50,4000.0,0.0
299.0,4100.0,50,4000.0,0.0
300.0,4100.0,50,4000.0,0.0
301.0,14.0,5,4.0,1.0
302.0,14.0,5,4.0,1.0
303.0,14.0,5,4.0,1.0
304.0,14.0,5,4.0,1.0
305.0,104.0,14,4.0,1.0
306.0,104.0,14,4.0,1.0
307.0,23.0,5,3.0,1.0
308.0,23.0,5,3.0,1.0
309.0,23.0,5,3.0,1.0
310.0,23.0,5,3.0,1.0
311.0,23.0,5,3.0,1.0
312.0,23.0,5,3.0,1.0
313.0,23.0,5,3.0,1.0
314.0,23.0,5,3.0,1.0
315.0,23.0,5,3.0,1.0
316.0,23.0,5,3.0,1.0
317.0,23.0,5,3.0,1.0
318.0,113.0,14,3.0,1.0
319.0,113.0,14,3.0,1.0
320.0,113.0,14,3.0,1.0
321.0,113.0,14,3.0,1.0
322.0,113.0,14,3.0,1.0
323.0,113.0,14,3.0,1.0
324.0,113.0,14,3.0,1.0
325.0,113.0,14,3.0,1.0
326.0,113.0,14,3.0,1.0
327.0,113.0,14,3.0,1.0
328.0,113.0,14,3.0,1.0
329.0,113.0,14,3.0,1.0
330.0,113.0,14,3.0,1.0
331.0,113.0,14,3.0,1.0
332.0,113.0,14,3.0,1.0
333.0,1013.0,14,1003.0,1.0
334.0,203.0,23,3.0,1.0
335.0,203.0,23,3.0,1.0
336.0,203.0,23,3.0,1.0
337.0,203.0,23,3.0,1.0
338.0,203.0,23,3.0,1.0
339.0,1103.0,23,1003.0,1.0
340.0,32.0,5,2.0,1.0
341.0,32.0,5,2.0,1.0
342.0,32.0,5,2.0,1.0
343.0,32.0,5,2.0,1.0
344.0,32.0,5,2.0,1.0
345.0,32.0,5,2.0,1.0
346.0,32.0,5,2.0,1.0
347.0,32.0,5,2.0,1.0
348.0,32.0,5,2.0,1.0
349.0,32.0,5,2.0,1.0
350.0,32.0,5,2.0,1.0
351.0,32.0,5,2.0,1.0
352.0,32.0,5,2.0,1.0
353.0,32.0,5,2.0,1.0
354.0,32.0,5,2.0,1.0
355.0,32.0,5,2.0,1.0
356.0,32.0,5,2.0,1.0
357.0,122.0,14,2.0,1.0
358.0,122.0,14,2.0,1.0
359.0,122.0,14,2.0,1.0
360.0,122.0,14,2.0,1.0
361.0,122.0,14,2.0,1.0
362.0,122.0,14,2.0,1.0
363.0,122.0,14,2.0,1.0
364.0,122.0,14,2.0,1.0
365.0,122.0,14,2.0,1.0
366.0,122.0,14,2.0,1.0
367.0,122.0,14,2.0,1.0
368.0,122.0,14,2.0,1.0
369.0,122.0,14,2.0,1.0
370.0,122.0,14,2.0,1.0
371.0,122.0,14,2.0,1.0
372.0,122.0,14,2.0,1.0
373.0,122.0,14,2.0,1.0
374.0,122.0,14,2.0,1.0
375.0,122.0,14,2.0,1.0
376.0,122.0,14,2.0,1.0
377.0,122.0,14,2.0,1.0
378.0,122.0,14,2.0,1.0
379.0,122.0,14,2.0,1.0
380.0,122.0,14,2.0,1.0
381.0,122.0,14,2.0,1.0
382.0,122.0,14,2.0,1.0
383.0,122.0,14,2.0,1.0
384.0,122.0,14,2.0,1.0
385.0,122.0,14,2.0,1.0
386.0,122.0,14,2.0,1.0
387.0,122.0,14,2.0,1.0
388.0,122.0,14,2.0,1.0
389.0,122.0,14,2.0,1.0
390.0,122.0,14,2.0,1.0
391.0,1022.0,14,1002.0,1.0
392.0,1022.0,14,1002.0,1.0
393.0,212.0,23,2.0,1.0
394.0,212.0,23,2.0,1.0
395.0,212.0,23,2.0,1.0
396.0,212.0,23,2.0,1.0
397.0,212.0,23,2.0,1.0
398.0,212.0,23,2.0,1.0
399.0,212.0,23,2.0,1.0
400.0,212.0,23,2.0,1.0
401.0,212.0,23,2.0,1.0
402.0,212.0,23,2.0,1.0
403.0,212.0,23,2.0,1.0
404.0,212.0,23,2.0,1.0
405.0,212.0,23,2.0,1.0
406.0,212.0,23,2.0,1.0
407.0,212.0,23,2.0,1.0
408.0,212.0,23,2.0,1.0
409.0,212.0,23,2.0,1.0
410.0,212.0,23,2.0,1.0
411.0,212.0,23,2.0,1.0
412.0,212.0,23,2.0,1.0
413.0,212.0,23,2.0,1.0
414.0,212.0,23,2.0,1.0
