subject_ID,subject_index
67047fbe4a73fb7c0e482271,30.0
5fb951898639c17a684074e1,31.0
667447e858816e268d6a6759,32.0
5b8d575aafe6be000115695b,33.0
61115178c8a4bbd5832f32ba,34.0
663a8b6eababda7c864ed2ce,35.0
63b18d94775ad4aad221103c,36.0
6706af217ea3142dd07d1e83,37.0
611e64ad7ea7083dd09ce1dc,38.0
5e84bd7c34d5d9072128fac1,39.0
5ba292385301b80001c71ba2,40.0
628d14b52b5bd1d83ed1f7d2,41.0
65983fefe71122401b14dc8c,42.0
66f79e4ad5c034f3860a9619,43.0
5769a352f48c3b00016737f9,44.0
66df255fc0e34d721c9b5f1e,45.0
67367d0a333a8316c597fe24,46.0
671176d0ec7b61ae6896ea0a,47.0
63f049c2d78b2bc822a16dac,48.0
6642567dfa2ae8171e023eb5,49.0
59cd8ca44f2d3d0001d8de53,50.0
672f6bb692f6294cbe6e75c0,51.0
6172ba772342dcc9343a29db,52.0
663afb4c74805516d7983f27,53.0
67321755210a886693f8b99a,54.0
5bb686b88f1e5f0001cca136,55.0
63d82b2de40f94ceb14816cc,56.0
663c1db6050ff8907df7909a,57.0
5f276d8f38b9f857f5cebf21,58.0
632a87e7bca66819afd2c640,59.0
671b808f72d8aafff77cf0a4,61.0
66800afe07db0b23543d3975,62.0
67274d3a808640324ab4ffd0,63.0
66af5de74d6ff97799fee03e,64.0
