"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","block_rep","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","total_bonus"
"pavlovia","0","1234","0.0-0.0","5b6545f19ed653000189a3a4","6662009ae78f21dd82fcd179","66620d404d066a268d713931","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","14446","0.0-1.0-0.0","5b6545f19ed653000189a3a4","6662009ae78f21dd82fcd179","66620d404d066a268d713931","13047","new_consent.html","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","18280","0.0-1.0-1.0","5b6545f19ed653000189a3a4","6662009ae78f21dd82fcd179","66620d404d066a268d713931","3833","","{""Q0"":""Male"",""Q1"":""Asian""}","[0,1]","","","","","","","","","","","","","","","","",""
"survey-text","3","19974","0.0-1.0-2.0","5b6545f19ed653000189a3a4","6662009ae78f21dd82fcd179","66620d404d066a268d713931","1692","","{""Q0"":""23""}","","","","","","","","","","","","","","","","","",""
"instructions","4","21587","0.0-2.0","5b6545f19ed653000189a3a4","6662009ae78f21dd82fcd179","66620d404d066a268d713931","1511","","","","[{""page_index"":0,""viewing_time"":1511}]","","","","","","","","","","","","","","","",""
"preload","5","22887","0.0-3.0-0.0","5b6545f19ed653000189a3a4","6662009ae78f21dd82fcd179","66620d404d066a268d713931","","","","","","true","false","[]","[]","[]","","","","","","","","","","",""
"instructions","6","89921","0.0-3.0-1.0","5b6545f19ed653000189a3a4","6662009ae78f21dd82fcd179","66620d404d066a268d713931","67035","","","","[{""page_index"":0,""viewing_time"":15169},{""page_index"":1,""viewing_time"":4095},{""page_index"":2,""viewing_time"":1291},{""page_index"":3,""viewing_time"":847},{""page_index"":4,""viewing_time"":4598},{""page_index"":5,""viewing_time"":13823},{""page_index"":6,""viewing_time"":4417},{""page_index"":7,""viewing_time"":4157},{""page_index"":8,""viewing_time"":1980},{""page_index"":9,""viewing_time"":9435},{""page_index"":10,""viewing_time"":5963},{""page_index"":11,""viewing_time"":1260}]","","","","","","","","","","","","","","","",""
"html-button-response","7","92112","0.0-3.0-2.0-0.0-0.0","5b6545f19ed653000189a3a4","6662009ae78f21dd82fcd179","66620d404d066a268d713931","2190","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","",""
"html-button-response","8","94624","0.0-3.0-2.0-1.0-0.0","5b6545f19ed653000189a3a4","6662009ae78f21dd82fcd179","66620d404d066a268d713931","1469","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","",""
"html-button-response","9","103308","0.0-3.0-2.0-2.0-0.0","5b6545f19ed653000189a3a4","6662009ae78f21dd82fcd179","66620d404d066a268d713931","8061","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
"html-button-response","10","105268","0.0-3.0-2.0-3.0-0.0","5b6545f19ed653000189a3a4","6662009ae78f21dd82fcd179","66620d404d066a268d713931","1209","","1","","","","","","","","<div align=center>When there is a 99% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
"instructions","11","126088","0.0-3.0-3.0","5b6545f19ed653000189a3a4","6662009ae78f21dd82fcd179","66620d404d066a268d713931","20175","","","","[{""page_index"":0,""viewing_time"":20175}]","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","129334","0.0-3.0-4.0-0.0","5b6545f19ed653000189a3a4","6662009ae78f21dd82fcd179","66620d404d066a268d713931","3246",""," ","","","","","","","","<div align=center>In this practice block, there will be a <b>1% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","",""
"image-keyboard-response","13","133229","0.0-3.0-4.0-1.0-0.0","5b6545f19ed653000189a3a4","6662009ae78f21dd82fcd179","66620d404d066a268d713931","3893","","f","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","practice","0","0","0","0","9","0","true","",""
