"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","block_rep","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","total_bonus"
"pavlovia","0","1163","0.0-0.0","661f0e896898093f2e1e62f7","6662009ae78f21dd82fcd179","66620a27b067d1d8e941ffec","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","35135","0.0-1.0-0.0","661f0e896898093f2e1e62f7","6662009ae78f21dd82fcd179","66620a27b067d1d8e941ffec","33850","new_consent.html","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","38496","0.0-1.0-1.0","661f0e896898093f2e1e62f7","6662009ae78f21dd82fcd179","66620a27b067d1d8e941ffec","3359","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","","","","","","","","","","","","","","","","",""
"survey-text","3","71824","0.0-1.0-2.0","661f0e896898093f2e1e62f7","6662009ae78f21dd82fcd179","66620a27b067d1d8e941ffec","33325","","{""Q0"":""23""}","","","","","","","","","","","","","","","","","",""
"instructions","4","74535","0.0-2.0","661f0e896898093f2e1e62f7","6662009ae78f21dd82fcd179","66620a27b067d1d8e941ffec","2608","","","","[{""page_index"":0,""viewing_time"":2608}]","","","","","","","","","","","","","","","",""
"preload","5","75530","0.0-3.0-0.0","661f0e896898093f2e1e62f7","6662009ae78f21dd82fcd179","66620a27b067d1d8e941ffec","","","","","","true","false","[]","[]","[]","","","","","","","","","","",""
"instructions","6","194990","0.0-3.0-1.0","661f0e896898093f2e1e62f7","6662009ae78f21dd82fcd179","66620a27b067d1d8e941ffec","119461","","","","[{""page_index"":0,""viewing_time"":27053},{""page_index"":1,""viewing_time"":3896},{""page_index"":2,""viewing_time"":1336},{""page_index"":3,""viewing_time"":824},{""page_index"":4,""viewing_time"":3024},{""page_index"":5,""viewing_time"":24432},{""page_index"":6,""viewing_time"":52240},{""page_index"":7,""viewing_time"":1776},{""page_index"":8,""viewing_time"":1216},{""page_index"":9,""viewing_time"":1080},{""page_index"":10,""viewing_time"":1464},{""page_index"":11,""viewing_time"":1120}]","","","","","","","","","","","","","","","",""
"html-button-response","7","198335","0.0-3.0-2.0-0.0-0.0","661f0e896898093f2e1e62f7","6662009ae78f21dd82fcd179","66620a27b067d1d8e941ffec","3344","","2","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","",""
"html-button-response","8","201119","0.0-3.0-2.0-0.1-0.1","661f0e896898093f2e1e62f7","6662009ae78f21dd82fcd179","66620a27b067d1d8e941ffec","1632","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","",""
"html-button-response","9","206422","0.0-3.0-2.0-1.0-0.0","661f0e896898093f2e1e62f7","6662009ae78f21dd82fcd179","66620a27b067d1d8e941ffec","4360","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","",""
"html-button-response","10","270390","0.0-3.0-2.0-2.0-0.0","661f0e896898093f2e1e62f7","6662009ae78f21dd82fcd179","66620a27b067d1d8e941ffec","62799","","1","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
"html-button-response","11","272045","0.0-3.0-2.0-2.1-0.1","661f0e896898093f2e1e62f7","6662009ae78f21dd82fcd179","66620a27b067d1d8e941ffec","632","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
