"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","block_rep","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","total_bonus"
"pavlovia","0","1463","0.0-0.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","37955","0.0-1.0-0.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","36382","new_consent.html","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","42520","0.0-1.0-1.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","4563","","{""Q0"":""Male"",""Q1"":""Hispanic or Latino""}","[0,1]","","","","","","","","","","","","","","","","",""
"survey-text","3","45274","0.0-1.0-2.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","2751","","{""Q0"":""37""}","","","","","","","","","","","","","","","","","",""
"instructions","4","46675","0.0-2.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","1299","","","","[{""page_index"":0,""viewing_time"":1299}]","","","","","","","","","","","","","","","",""
"preload","5","47543","0.0-3.0-0.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","","","","","","true","false","[]","[]","[]","","","","","","","","","","",""
"instructions","6","398946","0.0-3.0-1.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","351404","","","","[{""page_index"":0,""viewing_time"":296239},{""page_index"":1,""viewing_time"":13218},{""page_index"":2,""viewing_time"":2889},{""page_index"":3,""viewing_time"":1008},{""page_index"":4,""viewing_time"":4510},{""page_index"":5,""viewing_time"":8061},{""page_index"":6,""viewing_time"":6981},{""page_index"":7,""viewing_time"":5639},{""page_index"":8,""viewing_time"":3743},{""page_index"":9,""viewing_time"":1860},{""page_index"":10,""viewing_time"":5833},{""page_index"":11,""viewing_time"":1422}]","","","","","","","","","","","","","","","",""
"html-button-response","7","401108","0.0-3.0-2.0-0.0-0.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","2161","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","",""
"html-button-response","8","405912","0.0-3.0-2.0-1.0-0.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","3351","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","",""
"html-button-response","9","411690","0.0-3.0-2.0-2.0-0.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","4469","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
"html-button-response","10","414451","0.0-3.0-2.0-3.0-0.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","1845","","1","","","","","","","","<div align=center>When there is a 99% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
"instructions","11","512890","0.0-3.0-3.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","96263","","","","[{""page_index"":0,""viewing_time"":96262}]","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","519075","0.0-3.0-4.0-0.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","6184",""," ","","","","","","","","<div align=center>In this practice block, there will be a <b>1% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","",""
"image-keyboard-response","13","522894","0.0-3.0-4.0-1.0-0.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","3815","","f","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","practice","0","0","0","0","9","0","true","",""
"image-keyboard-response","14","523198","0.0-3.0-4.0-1.0-1.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","",""
"image-keyboard-response","15","523702","0.0-3.0-4.0-1.0-2.0","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","",""
"image-keyboard-response","16","526547","0.0-3.0-4.0-1.0-0.1","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","2844","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","0","1","0","0","0","0","true","",""
"image-keyboard-response","17","526862","0.0-3.0-4.0-1.0-1.1","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","",""
"image-keyboard-response","18","527379","0.0-3.0-4.0-1.0-2.1","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","",""
"image-keyboard-response","19","528492","0.0-3.0-4.0-1.0-0.2","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","1112","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","0","2","0","1","0","0","false","",""
"image-keyboard-response","20","528798","0.0-3.0-4.0-1.0-1.2","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","",""
"image-keyboard-response","21","529312","0.0-3.0-4.0-1.0-2.2","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","",""
"image-keyboard-response","22","530183","0.0-3.0-4.0-1.0-0.3","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","871","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","0","3","0","0","1","0","true","",""
"image-keyboard-response","23","530485","0.0-3.0-4.0-1.0-1.3","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","",""
"image-keyboard-response","24","530987","0.0-3.0-4.0-1.0-2.3","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","",""
"image-keyboard-response","25","531821","0.0-3.0-4.0-1.0-0.4","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","833","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","0","4","0","0","0","0","true","",""
"image-keyboard-response","26","532130","0.0-3.0-4.0-1.0-1.4","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","",""
"image-keyboard-response","27","532643","0.0-3.0-4.0-1.0-2.4","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","",""
"image-keyboard-response","28","533313","0.0-3.0-4.0-1.0-0.5","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","669","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","0","5","0","1","0","0","false","",""
"image-keyboard-response","29","533628","0.0-3.0-4.0-1.0-1.5","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","",""
"image-keyboard-response","30","534134","0.0-3.0-4.0-1.0-2.5","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","",""
"image-keyboard-response","31","534759","0.0-3.0-4.0-1.0-0.6","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","624","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","0","6","0","0","1","0","true","",""
"image-keyboard-response","32","535067","0.0-3.0-4.0-1.0-1.6","5b87e73d53303600015ea51c","6662009ae78f21dd82fcd179","66620a2eddcb3e96b18d4b1c","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","",""
